variable_name,missing_count,missing_percentage,stage
RecordNo,0,0,Raw data
endtime,0,0,Raw data
qweek,0,0,Raw data
i1_health,22927,42.59,Raw data
i2_health,2002,3.72,Raw data
i7a_health,17901,33.25,Raw data
i3_health,30113,55.94,Raw data
i4_health,30293,56.27,Raw data
i5_health_1,22130,41.11,Raw data
i5_health_2,22130,41.11,Raw data
i5_health_3,22130,41.11,Raw data
i5_health_4,22130,41.11,Raw data
i5_health_5,22130,41.11,Raw data
i5_health_99,22130,41.11,Raw data
i5a_health,51841,96.3,Raw data
i6_health,50486,93.78,Raw data
i7b_health,51934,96.47,Raw data
i8_health,52531,97.58,Raw data
i9_health,1001,1.86,Raw data
i10_health,18902,35.11,Raw data
i11_health,1001,1.86,Raw data
i12_health_1,0,0,Raw data
i12_health_2,1006,1.87,Raw data
i12_health_3,0,0,Raw data
i12_health_4,0,0,Raw data
i12_health_5,0,0,Raw data
i12_health_6,0,0,Raw data
i12_health_7,0,0,Raw data
i12_health_8,0,0,Raw data
i12_health_9,22968,42.67,Raw data
i12_health_10,39129,72.69,Raw data
i12_health_11,1006,1.87,Raw data
i12_health_12,0,0,Raw data
i12_health_13,0,0,Raw data
i12_health_14,0,0,Raw data
i12_health_15,0,0,Raw data
i12_health_16,0,0,Raw data
i12_health_17,32756,60.85,Raw data
i12_health_18,32756,60.85,Raw data
i12_health_19,32756,60.85,Raw data
i12_health_20,32756,60.85,Raw data
i13_health,17901,33.25,Raw data
i14_health_1,22968,42.67,Raw data
i14_health_2,22968,42.67,Raw data
i14_health_3,22968,42.67,Raw data
i14_health_4,22968,42.67,Raw data
i14_health_5,22968,42.67,Raw data
i14_health_6,22968,42.67,Raw data
i14_health_7,22968,42.67,Raw data
i14_health_8,22968,42.67,Raw data
i14_health_9,22968,42.67,Raw data
i14_health_10,22968,42.67,Raw data
i14_health_96,22968,42.67,Raw data
i14_health_98,22968,42.67,Raw data
i14_health_99,22968,42.67,Raw data
i14_health_other,48399,89.91,Raw data
d1_health_1,9007,16.73,Raw data
d1_health_2,9007,16.73,Raw data
d1_health_3,9007,16.73,Raw data
d1_health_4,9007,16.73,Raw data
d1_health_5,9007,16.73,Raw data
d1_health_6,9007,16.73,Raw data
d1_health_7,9007,16.73,Raw data
d1_health_8,9007,16.73,Raw data
d1_health_9,9007,16.73,Raw data
d1_health_10,9007,16.73,Raw data
d1_health_11,9007,16.73,Raw data
d1_health_12,9007,16.73,Raw data
d1_health_13,9007,16.73,Raw data
d1_health_98,9007,16.73,Raw data
d1_health_99,9007,16.73,Raw data
weight,0,0,Raw data
age,0,0,Raw data
gender,0,0,Raw data
state,0,0,Raw data
household_size,0,0,Raw data
employment_status,0,0,Raw data
WCRex2,2981,5.54,Raw data
WCRV_4,40745,75.69,Raw data
CORE_B2_4,42755,79.42,Raw data
cantril_ladder,3985,7.4,Raw data
PHQ4_1,10752,19.97,Raw data
PHQ4_2,10781,20.03,Raw data
PHQ4_3,10756,19.98,Raw data
PHQ4_4,10761,19.99,Raw data
m1_1,52825,98.13,Raw data
m1_2,52825,98.13,Raw data
m1_3,52825,98.13,Raw data
m1_4,52825,98.13,Raw data
m2,49805,92.52,Raw data
m3,49990,92.86,Raw data
m4_1,52737,97.96,Raw data
m4_2,52737,97.96,Raw data
m4_3,52737,97.96,Raw data
m4_4,52737,97.96,Raw data
m4_96,52737,97.96,Raw data
m4_99,52737,97.96,Raw data
m4_other,53804,99.95,Raw data
m5_1,53833,100,Raw data
m5_2,53691,99.74,Raw data
m6_1,53833,100,Raw data
m6_2,53833,100,Raw data
m6_3,53833,100,Raw data
m6_4,53833,100,Raw data
m6_5,53833,100,Raw data
m6_6,53833,100,Raw data
m6_7,53833,100,Raw data
m6_8,53833,100,Raw data
m6_96,53833,100,Raw data
m6_other,53833,100,Raw data
m7_1,52737,97.96,Raw data
m7_2,52737,97.96,Raw data
m7_3,52737,97.96,Raw data
m7_4,52737,97.96,Raw data
m7_5,52737,97.96,Raw data
m7_6,52737,97.96,Raw data
m7_8,52737,97.96,Raw data
m7_9,52737,97.96,Raw data
m7_10,52737,97.96,Raw data
m7_11,52737,97.96,Raw data
m8_1,53584,99.54,Raw data
m8_2,53584,99.54,Raw data
m8_3,53584,99.54,Raw data
m8_4,53584,99.54,Raw data
m8_5,53584,99.54,Raw data
m8_6,53584,99.54,Raw data
m8_7,53584,99.54,Raw data
m8_8,53584,99.54,Raw data
m8_96,53584,99.54,Raw data
m8_99,53584,99.54,Raw data
m8_other,53833,100,Raw data
m9_1,53584,99.54,Raw data
m9_2,53584,99.54,Raw data
m9_3,53584,99.54,Raw data
m9_4,53584,99.54,Raw data
m9_5,53584,99.54,Raw data
m9_6,53584,99.54,Raw data
m9_7,53584,99.54,Raw data
m10,52870,98.21,Raw data
m11,52870,98.21,Raw data
m12_1,53074,98.59,Raw data
m12_2,53074,98.59,Raw data
m12_3,53074,98.59,Raw data
m12_4,53074,98.59,Raw data
m12_5,53074,98.59,Raw data
m12_6,53074,98.59,Raw data
m12_7,53074,98.59,Raw data
m12_8,53074,98.59,Raw data
m12_96,53074,98.59,Raw data
m12_99,53074,98.59,Raw data
