number,value,tree_depth,min_n,cost_complexity,std_err,.config
1,0.11358247654066544,10,11,7.943282347242822e-5,0.0021923292056202598,pre0_mod01_post0
2,0.11032382469124237,9,14,8.75195877204175e-5,0.0010994847314367178,pre0_mod02_post0
3,0.11098595562633691,11,17,9.64296357589579e-5,0.0019095415020916418,pre0_mod03_post0
4,0.11208936406076787,8,10,1.062467830894042e-4,0.0019142435893096574,pre0_mod04_post0
5,0.11565837392852124,12,13,1.170633781617108e-4,0.0010343821544141368,pre0_mod05_post0
6,0.11755207113526005,12,9,1.2898117108261278e-4,0.0013668387541217342,pre0_mod06_post0
7,0.11260685512201977,10,8,1.4211227076380074e-4,0.0015258834501618145,pre0_mod07_post0
8,0.11188854474058113,8,14,1.5658019951383673e-4,0.0019835698681434357,pre0_mod08_post0
9,0.1096755214920293,9,20,1.7252105499420426e-4,0.0012043282445863594,pre0_mod09_post0
10,0.11105233266195139,11,19,1.9008479046983887e-4,0.0017691544296629372,pre0_mod10_post0
11,0.11185429255078301,10,13,2.0943662539726774e-4,0.0011658788319035757,pre0_mod11_post0
12,0.11259258825549986,8,10,2.30758599619549e-4,0.0015053027384515597,pre0_mod12_post0
13,0.11374149062407295,12,11,2.5425128578809717e-4,0.001048564210334553,pre0_mod13_post0
14,0.11287084094493106,11,8,2.80135676119887e-4,0.0012549000505184423,pre0_mod14_post0
15,0.11421831818820555,8,16,3.0865526123848654e-4,0.0013863844785956048,pre0_mod15_post0
16,0.11246646993614064,12,15,3.400783206542651e-4,0.001812383469583344,pre0_mod16_post0
17,0.11275432494886567,9,9,3.7470044642998727e-4,0.0016349371475985722,pre0_mod17_post0
18,0.11365889503021218,10,18,4.128473237715364e-4,0.0017273437953044001,pre0_mod18_post0
19,0.1153271035333427,9,12,4.5487779470037773e-4,0.0019737936340025056,pre0_mod19_post0
20,0.1149034010180024,11,12,5.011872336272725e-4,0.001332667637597663,pre0_mod20_post0
21,0.12815672474901244,12,8,8.054646456488166e-5,0.0013723263988058853,iter01
22,0.12701842982497227,12,9,7.970230514990689e-5,0.0016763720462953616,iter02
23,0.12815672474901244,12,8,8.057153926755381e-5,0.0013723263988058853,iter03
24,0.12815672474901244,12,8,7.966125592207088e-5,0.0013723263988058853,iter04
25,0.12210173778631318,12,8,9.720455368867633e-5,0.0014031734748011172,iter05
26,0.11682408036285853,8,18,4.942392469678757e-4,0.0014083836947772102,iter06
27,0.12815672474901244,12,8,8.295567052805617e-5,0.0013723263988058853,iter07
28,0.12815672474901244,12,8,8.327663737425868e-5,0.0013723263988058853,iter08
29,0.12815672474901244,12,8,8.086158321744841e-5,0.0013723263988058853,iter09
30,0.12815672474901244,12,8,8.416516183731279e-5,0.0013723263988058853,iter10
31,0.12220122527206582,12,8,8.666357138470684e-5,0.0014625087814090223,iter11
32,0.12815672474901244,12,8,8.182043304653274e-5,0.0013723263988058853,iter12
33,0.12572097444064514,12,10,8.29742642712803e-5,0.0016333941585374699,iter13
34,0.12305455368713601,11,8,8.146196225600187e-5,0.002213464746634321,iter14
35,0.12815672474901244,12,8,8.265443101294158e-5,0.0013723263988058853,iter15
