tree_depth,min_n,cost_complexity,mean,std_err
1,20,5.054318898652018e-4,0.5,0
1,20,9.798583429214275e-4,0.5,0
1,13,0.0012819920473974903,0.5,0
2,3,0.0014312844040813297,0.5,0
1,14,0.0026960068395778997,0.5,0
2,15,0.005150973794296715,0.5,0
1,12,0.005968451164791727,0.5,0
2,9,0.006234783276408501,0.5,0
2,16,0.006667945308460315,0.5,0
2,3,0.011184019520725433,0.5,0
2,11,0.017279130916792295,0.5,0
1,8,0.02014346948910188,0.5,0
3,19,0.02114142528478281,0.5,0
3,14,0.0309197040704046,0.5,0
18,4,0.03781211996059444,0.5,0
4,13,0.03830952611222121,0.5,0
12,10,0.03969290807263209,0.5,0
13,15,0.040201897596140734,0.5,0
15,13,0.040584012117961185,0.5,0
17,5,0.04149094157037003,0.5,0
12,15,0.04195396028616135,0.5,0
17,10,0.04306797051682872,0.5,0
4,18,0.04557948216567164,0.5,0
9,9,0.047101687447818494,0.5,0
15,18,0.05088078503526146,0.5,0
6,13,0.05135449441979776,0.5,0
4,17,0.05233882469600957,0.5,0
19,14,0.055234214258256316,0.5,0
1,8,0.057533178419608956,0.5,0
19,4,0.06178373951493921,0.5,0
6,15,0.06606455857452537,0.5,0
20,4,0.06919477422180817,0.5,0
11,4,0.07570812600023177,0.5,0
10,13,0.08229401646477355,0.5,0
15,2,0.08312500043484627,0.5,0
11,4,0.08850153420095737,0.5,0
13,7,0.08859736708494677,0.5,0
17,11,0.08876796241409975,0.5,0
3,12,0.10241877048996026,0.5,0
2,8,0.1087456999474065,0.5,0
3,11,0.11471354655859353,0.5,0
15,10,0.11757610531627619,0.5,0
17,16,0.12168609965191932,0.5,0
5,13,0.13158560471346706,0.5,0
1,2,0.13234598705664977,0.5,0
13,9,0.13509051134467345,0.5,0
2,13,0.13511488975894279,0.5,0
14,5,0.14326246129603176,0.5,0
13,11,0.15303479740154108,0.5,0
16,4,0.16487153049137462,0.5,0
4,14,0.16616953829810374,0.5,0
19,4,0.18421042409697475,0.5,0
9,13,0.18511908161661503,0.5,0
19,9,0.1901512607078607,0.5,0
7,4,0.1944753636617751,0.5,0
2,8,0.19754124369278936,0.5,0
