variable,median_importance,q1,q3,iqr,mean_importance
protective_behaviour_nomask_scale,821.0501182335405,812.7958186734348,828.5993442071692,15.803525533734387,821.1130525875574
age,493.4561819037684,488.00104363700615,498.26731658432175,10.2662729473156,493.1375996932846
state_New South Wales,490.5458912046048,483.3340191783674,498.2732266505852,14.939207472217788,491.2954994140629
week_number,478.35595945784354,473.9328968847294,483.68668537746544,9.753788492736021,478.7134637433461
i2_health,415.1364347147735,410.67670381817794,418.7507865380794,8.074082719901469,414.72440940965663
r1_1,402.4382930867772,397.6632841327247,408.0956850136593,10.432400880934608,402.8200082962387
r1_2,296.6051555253123,293.3575140087187,300.11245162344136,6.754937614722678,296.87175788137444
cantril_ladder,284.53628397826037,282.16313361949653,286.9214538786164,4.7583202591198415,284.3981686810472
household_size,221.4839719983426,219.6491679531727,223.66899191376913,4.019823960596426,221.67352246611782
state_Queensland,101.79662192540862,98.89258747038195,104.65904777128729,5.766460300905337,101.75886255416016
gender_Male,86.98121431298884,86.00364247512664,87.9506773794985,1.9470349043718613,86.96694330168002
d1_comorbidities_Yes,84.6990626920201,82.96781811600285,86.35755641372262,3.3897382977197736,84.80604684798186
state_South Australia,80.63539104654421,79.00341877532392,82.32359542521664,3.3201766498927157,80.6366539767573
WCRex2_A lot of confidence,77.32908112636895,76.34065081348454,78.74930920674674,2.4086583932622005,77.50987565523808
state_Tasmania,73.98883827218867,72.00982892263809,76.18571440629219,4.175885483654099,74.08614552153793
i11_health_Very willing,72.29993777809773,71.17080424370522,73.32299216722613,2.1521879235209127,72.26014134565372
employment_status_Part time employment,71.71423368899065,70.7074090052739,72.604457635769,1.8970486304950924,71.73646117433503
i9_health_Yes,69.4801170051172,68.43366825196009,70.3606229014359,1.9269546494758174,69.40644248013093
WCRex1_Very well,69.18145606877002,68.29059844698472,70.13666300073265,1.8460645537479365,69.23576634848958
WCRex1_Somewhat well,68.87666363420297,68.12908848267574,69.62163120218189,1.4925427195061474,68.84424792676708
state_Western Australia,67.14965748221053,65.43456930182343,69.14194663746417,3.707377335640743,67.32585986414568
employment_status_Retired,65.18278363552825,64.11381319350221,66.5378754449647,2.4240622514624874,65.29144401116424
PHQ4_4_Not at all,63.98607644407777,62.510234811246164,65.41874528385561,2.90851047260945,64.02472285463293
d1_comorbidities_No,60.882268880247594,60.06866596218009,61.79708180305434,1.7284158408742485,60.88996443119116
i11_health_Somewhat willing,60.368271136425534,59.36152891133076,61.52617620034674,2.1646472890159814,60.46814183379764
PHQ4_3_Several days,58.01464869235156,57.1606721327948,58.88069465449413,1.7200225216993275,58.014675818631204
PHQ4_1_Several days,57.88856163442147,57.17196682772311,58.400341494595594,1.228374666872483,57.817138631642
PHQ4_2_Not at all,57.87264429307692,56.89542920177161,59.018163686892514,2.122734485120901,57.9542298849292
PHQ4_1_Not at all,57.42571358062392,56.691023006171896,58.370318991660454,1.679295985488558,57.55603884877089
employment_status_Not working,55.84986935863108,55.092977444790165,56.77432733999732,1.6813498952071555,55.93588212775393
employment_status_Unemployed,55.20322775985255,54.39052676446763,55.92718881605268,1.536662051585047,55.13147706002299
PHQ4_2_Several days,54.11150803116371,53.316672140067205,54.75991412815305,1.4432419880858447,54.05748227500863
PHQ4_4_Several days,53.57653984512696,52.940859658331846,54.16212370907069,1.2212640507388457,53.57021393814196
PHQ4_3_Not at all,52.521854432413306,51.55853801762086,53.33493028355987,1.776392265939009,52.49231623934432
WCRex1_Somewhat badly,51.93826892546376,51.1414306108545,52.6545434556041,1.5131128447495996,51.90786443906306
WCRex2_Not very much confidence,50.37750184922552,49.64385674826223,51.08051104223727,1.4366542939750389,50.364574590376165
i9_health_Not sure,50.347830622576026,49.37305014536985,51.566280174053865,2.193230028684013,50.52205590475561
WCRex1_Very badly,39.82443318148381,38.99119815058696,40.72120718023398,1.7300090296470216,39.866826487972546
PHQ4_1_Nearly every day,39.801341387360104,39.089737444391766,40.599320971379626,1.5095835269878606,39.82580163334805
PHQ4_3_Nearly every day,39.455578359111684,38.60239679127706,40.295567761443976,1.6931709701669178,39.434440248039856
PHQ4_4_Nearly every day,38.55177237813633,37.72495518739575,39.36467874113279,1.639723553737042,38.55669451762853
PHQ4_2_Nearly every day,34.22574616598268,33.69519121594145,34.986285938145684,1.2910947222042353,34.30874134786414
