tree_depth,min_n,cost_complexity,mean,std_err
11,4,0.08850153420095737,0.5,0
13,7,0.08859736708494677,0.5,0
17,11,0.08876796241409975,0.5,0
3,12,0.10241877048996026,0.5,0
2,8,0.1087456999474065,0.5,0
3,11,0.11471354655859353,0.5,0
15,10,0.11757610531627619,0.5,0
17,16,0.12168609965191932,0.5,0
5,13,0.13158560471346706,0.5,0
1,2,0.13234598705664977,0.5,0
13,9,0.13509051134467345,0.5,0
2,13,0.13511488975894279,0.5,0
14,5,0.14326246129603176,0.5,0
13,11,0.15303479740154108,0.5,0
16,4,0.16487153049137462,0.5,0
4,14,0.16616953829810374,0.5,0
19,4,0.18421042409697475,0.5,0
9,13,0.18511908161661503,0.5,0
19,9,0.1901512607078607,0.5,0
7,4,0.1944753636617751,0.5,0
2,8,0.19754124369278936,0.5,0
14,11,0.20374234674572744,0.5,0
2,13,0.20628070468263435,0.5,0
17,3,0.2073979537910269,0.5,0
1,14,0.2154697948208753,0.5,0
2,11,0.2313977039586995,0.5,0
2,18,0.2412432419271938,0.5,0
15,17,0.255112961525736,0.5,0
16,9,0.26642190404572763,0.5,0
6,8,0.27136610586404836,0.5,0
20,5,0.2924374248011123,0.5,0
8,5,0.2964079309233145,0.5,0
1,13,0.29645729011231065,0.5,0
19,8,0.3002853436678972,0.5,0
3,19,0.30415879065938084,0.5,0
7,4,0.3087607028609884,0.5,0
4,18,0.3177510280843252,0.5,0
1,20,0.32248332864727025,0.5,0
1,19,0.32343095719156634,0.5,0
16,6,0.34845160220770954,0.5,0
8,20,0.3624229934475684,0.5,0
12,19,0.42097571631269165,0.5,0
8,20,0.44712024693113384,0.5,0
4,15,0.45691376435997944,0.5,0
16,15,0.4578258901342644,0.5,0
10,13,0.08229401646477355,0.3436888337564599,0.03952620183807168
15,2,0.08312500043484627,0.3436888337564599,0.03952620183807168
1,20,5.054318898652018e-4,0.3165214994242218,0.003922495616135763
1,20,9.798583429214275e-4,0.3165214994242218,0.003922495616135763
1,13,0.0012819920473974903,0.3165214994242218,0.003922495616135763
1,14,0.0026960068395778997,0.3165214994242218,0.003922495616135763
1,12,0.005968451164791727,0.3165214994242218,0.003922495616135763
1,8,0.02014346948910188,0.3165214994242218,0.003922495616135763
1,8,0.057533178419608956,0.3165214994242218,0.003922495616135763
2,6,5.137567051392255e-4,0.303117442448117,0.004254296939049919
2,3,0.0014312844040813297,0.303117442448117,0.004254296939049919
2,15,0.005150973794296715,0.303117442448117,0.004254296939049919
2,9,0.006234783276408501,0.303117442448117,0.004254296939049919
2,16,0.006667945308460315,0.303117442448117,0.004254296939049919
2,3,0.011184019520725433,0.303117442448117,0.004254296939049919
2,11,0.017279130916792295,0.303117442448117,0.004254296939049919
11,4,0.07570812600023177,0.2930391158655421,0.003412055047803496
3,14,0.0309197040704046,0.2911748098153508,0.004087427528128221
11,10,0.03112387762638962,0.2911748098153508,0.004087427528128221
18,4,0.03781211996059444,0.2911748098153508,0.004087427528128221
4,13,0.03830952611222121,0.2911748098153508,0.004087427528128221
12,10,0.03969290807263209,0.2911748098153508,0.004087427528128221
13,15,0.040201897596140734,0.2911748098153508,0.004087427528128221
15,13,0.040584012117961185,0.2911748098153508,0.004087427528128221
17,5,0.04149094157037003,0.2911748098153508,0.004087427528128221
12,15,0.04195396028616135,0.2911748098153508,0.004087427528128221
17,10,0.04306797051682872,0.2911748098153508,0.004087427528128221
4,18,0.04557948216567164,0.2911748098153508,0.004087427528128221
9,9,0.047101687447818494,0.2911748098153508,0.004087427528128221
15,18,0.05088078503526146,0.2911748098153508,0.004087427528128221
6,13,0.05135449441979776,0.2911748098153508,0.004087427528128221
4,17,0.05233882469600957,0.2911748098153508,0.004087427528128221
19,14,0.055234214258256316,0.2911748098153508,0.004087427528128221
19,4,0.06178373951493921,0.2911748098153508,0.004087427528128221
6,15,0.06606455857452537,0.2911748098153508,0.004087427528128221
20,4,0.06919477422180817,0.2911748098153508,0.004087427528128221
10,14,0.026954418089879646,0.2816264659371994,0.008975236068873535
9,10,0.027506034260318897,0.2816264659371994,0.008975236068873535
12,14,0.025543378827364023,0.2701060706436118,0.01473947884963031
16,2,1.7512328797875885e-4,0.2650039793164468,0.006896537979980507
16,3,2.092238525287062e-4,0.26155829142824116,0.006468441872327834
15,18,0.024158847907043226,0.24590933679541274,0.013066443024345575
14,4,1.6062343605791142e-4,0.24109262989096525,0.006007642030400916
12,17,0.021007437129733988,0.23347798185668828,0.004538152532583903
3,19,0.02114142528478281,0.23347798185668828,0.004538152532583903
12,16,0.021218536807958276,0.23347798185668828,0.004538152532583903
6,3,0.021410024117452103,0.23347798185668828,0.004538152532583903
3,3,0.009941314714707281,0.2334242722000655,0.004568383785154375
3,3,1.6530558873408007e-4,0.23257383966244724,0.004169908849975246
3,8,2.9312042292015876e-4,0.23257383966244724,0.004169908849975246
3,20,4.41738903195788e-4,0.23257383966244724,0.004169908849975246
3,14,0.004707373612642936,0.23257383966244724,0.004169908849975246
3,4,0.006826414352635961,0.23257383966244724,0.004169908849975246
7,7,0.019914414703957477,0.2322558203987023,0.005162374452972159
17,8,0.019971542629862084,0.2322558203987023,0.005162374452972159
4,13,0.007650954480395154,0.22898130981016362,0.005212207122315789
14,4,0.018665285126881096,0.22787270337122947,0.005782825050785028
8,3,0.009948733447874511,0.2263493291480113,0.004356450372268551
16,12,0.010129263459711803,0.2263493291480113,0.004356450372268551
20,17,0.010173078814173698,0.22630374115028182,0.004382489364660661
20,9,0.01036512814438876,0.22630374115028182,0.004382489364660661
11,9,0.012219862020771645,0.22630374115028182,0.004382489364660661
18,15,0.01324257796517828,0.22630374115028182,0.004382489364660661
13,7,0.013263813968634625,0.22630374115028182,0.004382489364660661
12,12,0.013329207929104504,0.22630374115028182,0.004382489364660661
20,13,0.014048211313939405,0.22630374115028182,0.004382489364660661
14,8,0.014315713487660043,0.22630374115028182,0.004382489364660661
8,20,0.014400804218579834,0.22630374115028182,0.004382489364660661
19,10,0.015134215575768495,0.22630374115028182,0.004382489364660661
13,6,0.015576185359936861,0.22630374115028182,0.004382489364660661
11,19,0.009215315557429177,0.22556203213390658,0.004518637011863366
14,3,0.00942575917473573,0.22556203213390658,0.004518637011863366
10,10,0.009591999167537344,0.22556203213390658,0.004518637011863366
13,20,0.008866814775272663,0.21693306597069387,0.004907043833298439
20,7,1.5482403932560508e-4,0.21337743927652025,0.00621520549133694
18,7,1.8319277459709086e-4,0.21197088059234756,0.007443637205740693
5,17,0.008377813664547465,0.21056295841799572,0.004874913473242454
4,9,0.004818495331256731,0.20959378367042664,0.005782447203179261
4,7,0.0038120465955956326,0.20234413602889414,0.007328266133928799
4,12,0.003951785328287154,0.20234413602889414,0.007328266133928799
4,10,0.004501608837732015,0.20234413602889414,0.007328266133928799
19,10,0.00834017546212912,0.2018033936084916,0.0073695341195305596
12,13,0.00816906183308832,0.20151892805959046,0.007396556649424921
13,7,0.008201916664217603,0.20151892805959046,0.007396556649424921
13,5,0.007777774469154781,0.20069603209537318,0.007295623025981019
11,3,1.413064740183367e-4,0.1973861893265396,0.005120368141934428
17,8,1.5604514557225304e-4,0.19632554217260303,0.004686204375571893
17,8,1.721412777525418e-4,0.19621498090372722,0.0048328570837040926
4,3,0.001497012129607462,0.1932241355546367,0.006767215842024516
4,16,0.0019144836612719634,0.1932241355546367,0.006767215842024516
12,5,1.5637917051078168e-4,0.1930298974862873,0.004691233302220715
4,17,1.2908284889798235e-4,0.19228107460810773,0.006969308900741731
4,3,2.0138458988564067e-4,0.19228107460810773,0.006969308900741731
17,6,0.007001835251198173,0.19150963557760856,0.007544105759163044
20,20,0.007125547995130561,0.19150963557760856,0.007544105759163044
6,5,0.0047337656943004704,0.1814447660502802,0.005213076118022811
20,6,0.005767512318418305,0.1814052248350844,0.0051810859066482775
6,18,0.005815439369785568,0.1814052248350844,0.0051810859066482775
9,5,0.005877613596359252,0.1814052248350844,0.0051810859066482775
9,13,0.00627500289196026,0.1814052248350844,0.0051810859066482775
16,16,0.006476894166026324,0.1814052248350844,0.0051810859066482775
19,14,0.006567263292913383,0.1814052248350844,0.0051810859066482775
13,5,0.00678952202116705,0.1814052248350844,0.0051810859066482775
5,15,0.003918335642793884,0.18088475692082423,0.004897434610006715
11,7,0.005098233312357656,0.1803095715528523,0.004344401327636397
13,11,0.0048186695393031675,0.1768640911522826,0.005763353989530363
11,7,1.2803804329724255e-4,0.17583210693319937,0.0045464138281208774
5,20,5.322371432044574e-4,0.17567773613204513,0.005728768157508455
7,14,0.00454433974887991,0.17489449994738707,0.005170086360934904
13,19,0.004639850483603162,0.17489449994738707,0.005170086360934904
19,18,0.004447471367787863,0.1746006085315952,0.005097299531166387
