number,value,tree_depth,min_n,cost_complexity,std_err,.config
1,0.1540003764418538,10,11,7.943282347242822e-5,0.005549592733200637,pre0_mod01_post0
2,0.15071913732569187,9,14,8.75195877204175e-5,0.005479885470942015,pre0_mod02_post0
3,0.15051692580390344,11,17,9.64296357589579e-5,0.005252651907857058,pre0_mod03_post0
4,0.15122116848144246,8,10,1.062467830894042e-4,0.006822820799600753,pre0_mod04_post0
5,0.15678815067752125,12,13,1.170633781617108e-4,0.004609272989446883,pre0_mod05_post0
6,0.17204818455728807,12,9,1.2898117108261278e-4,0.005652077767505516,pre0_mod06_post0
7,0.16141862260814924,10,8,1.4211227076380074e-4,0.006461001454907412,pre0_mod07_post0
8,0.1490368572144192,8,14,1.5658019951383673e-4,0.00653596655345728,pre0_mod08_post0
9,0.14728053365819968,9,20,1.7252105499420426e-4,0.006845664445376707,pre0_mod09_post0
10,0.1515279537717547,11,19,1.9008479046983887e-4,0.006838295997333486,pre0_mod10_post0
11,0.1512621324689991,10,13,2.0943662539726774e-4,0.005729972594425919,pre0_mod11_post0
12,0.14859345613637273,8,10,2.30758599619549e-4,0.006922458636849645,pre0_mod12_post0
13,0.15817259710791876,12,11,2.5425128578809717e-4,0.00647289875608787,pre0_mod13_post0
14,0.16080167294316766,11,8,2.80135676119887e-4,0.007518460258933605,pre0_mod14_post0
15,0.14618831874250635,8,16,3.0865526123848654e-4,0.006151342885702869,pre0_mod15_post0
16,0.15294693207299415,12,15,3.400783206542651e-4,0.005746665160723278,pre0_mod16_post0
17,0.15022475357138093,9,9,3.7470044642998727e-4,0.006033454238431446,pre0_mod17_post0
18,0.14802247980330172,10,18,4.128473237715364e-4,0.006069866717759221,pre0_mod18_post0
19,0.14794167818964074,9,12,4.5487779470037773e-4,0.006179026300426446,pre0_mod19_post0
20,0.1511213669285457,11,12,5.011872336272725e-4,0.006027687862841505,pre0_mod20_post0
21,0.18115348305048323,12,8,8.054646456488166e-5,0.0038829063762539674,iter01
22,0.18114376077268396,12,8,9.843425133957495e-5,0.003875867570995213,iter02
23,0.18114376077268396,12,8,8.956247218634073e-5,0.003875867570995213,iter03
24,0.18114376077268396,12,8,9.335802593696656e-5,0.003875867570995213,iter04
25,0.18114376077268396,12,8,9.720455368867633e-5,0.003875867570995213,iter05
26,0.18114376077268396,12,8,8.470989952923e-5,0.003875867570995213,iter06
27,0.18115348305048323,12,8,8.295567052805617e-5,0.0038829063762539674,iter07
28,0.15417182051133846,12,8,4.7291976123482466e-4,0.006689411998438738,iter08
29,0.18115348305048323,12,8,8.086158321744841e-5,0.0038829063762539674,iter09
30,0.18114376077268396,12,8,9.567713252497698e-5,0.003875867570995213,iter10
31,0.18114376077268396,12,8,8.666357138470684e-5,0.003875867570995213,iter11
32,0.18115348305048323,12,8,8.182043304653274e-5,0.0038829063762539674,iter12
33,0.17183387947043227,11,8,7.994494434116308e-5,0.005321289844634875,iter13
34,0.18114376077268396,12,8,9.189118894107012e-5,0.003875867570995213,iter14
