number,value,max_depth,min_node_size,max_features_mode,std_err
51,0.8867241956468063,14,37,all,0.001988173746411909
77,0.8863814908548746,18,26,all,0.0021844013988378146
7,0.8862591641184403,25,13,all,0.002304764621584213
29,0.8860459974644356,19,4,all,0.0022738213739859647
2,0.8857628535070559,28,1,all,0.00250189543057276
48,0.8848838934683102,15,95,all,0.001854685893310805
57,0.883754730441967,23,124,all,0.0019081631298552512
3,0.8835296634916715,18,132,all,0.0019057911814991174
18,0.8835077028451501,27,132,all,0.0019176124575759578
88,0.8831279023665267,16,151,all,0.0018297741347717
16,0.8827723773052744,15,165,all,0.0017782336157823515
52,0.8823430763423297,9,115,all,0.0017117563878258693
92,0.8822458856431976,13,181,all,0.0017122669130879124
85,0.881974345216615,21,25,sqrt,0.0020298101513302434
14,0.8818471812026362,22,187,all,0.0018179102931254517
80,0.8813562123701354,9,157,all,0.0016242777316753196
24,0.8811321840990675,19,35,sqrt,0.002222376589447323
17,0.8809710404360791,30,7,log2,0.002311142201847445
90,0.8807565383373536,8,70,all,0.0019247163655629845
99,0.8799687446582211,21,42,sqrt,0.0022439010941741272
46,0.8793717118383316,18,8,log2,0.002286751222255464
86,0.8790964321665306,26,53,sqrt,0.0023282045002181056
91,0.8783101223148658,31,59,sqrt,0.0024274109009862796
36,0.8776777150481473,17,58,sqrt,0.002413033382499869
47,0.8758587206320867,7,91,all,0.00219816677767648
69,0.8757589777497103,7,98,all,0.002195392482708716
30,0.8753107431482783,7,154,all,0.002040319696254627
10,0.8752897024747868,19,88,sqrt,0.002574222866469609
83,0.8752844497255513,7,133,all,0.0021667045196103766
68,0.8750944901331409,14,77,sqrt,0.0023020991288236485
8,0.8748444948813887,18,44,log2,0.0025742376915878383
64,0.8731480646141574,22,61,log2,0.002489264794844079
9,0.872490135514995,27,128,sqrt,0.0024676024993809807
32,0.8723892352471938,19,132,sqrt,0.0023194810495721454
67,0.8718687679246359,14,129,sqrt,0.0023901423897304875
72,0.8702885510246718,10,77,sqrt,0.002279469912125962
38,0.8702321062278019,17,172,sqrt,0.0024408146245715676
4,0.8695532848378948,17,190,sqrt,0.002528317122757147
61,0.8693046547074129,10,100,sqrt,0.002439958208169854
95,0.869272485327914,15,189,sqrt,0.0024524057583936556
56,0.8686620980608155,24,127,log2,0.002528911682536197
89,0.8681655500370363,11,155,sqrt,0.0024367004912967294
6,0.8680940295530949,15,131,log2,0.0025996286365437354
96,0.8680593673434502,11,170,sqrt,0.002473460418349626
28,0.8680455380714516,13,114,log2,0.002266299889896825
13,0.8679311052971453,16,140,log2,0.002569857259718165
66,0.867849257374029,14,127,log2,0.0025306501038492614
59,0.8675752241173007,18,149,log2,0.002507956013524968
