variable,median_importance,q1,q3,iqr,mean_importance
protective_behaviour_nomask_scale,0.19695422746374364,0.19518244694267506,0.1984012724740541,0.0032188255313790326,0.19690234528452988
week_number,0.19608996058658607,0.19475954840006798,0.19758144624063595,0.0028218978405679662,0.19618417405960953
state_Western Australia,0.06791936252613727,0.06682999118154986,0.06893743242652334,0.0021074412449734736,0.06794999957832007
state_Queensland,0.06789616843466097,0.06645120029084646,0.06890789388858423,0.002456693597737772,0.0676300765416684
age,0.06535801286985365,0.0643897234639925,0.06601751094034107,0.0016277874763485772,0.06524404749246364
i2_health,0.04405781781518853,0.04330997692443334,0.04492751387161858,0.0016175369471852358,0.04407458019451987
state_Victoria,0.04177678641087365,0.0404304327714739,0.04317647374199168,0.0027460409705177824,0.041916586052188946
r1_1,0.0315239238199988,0.03089953913275309,0.031962792409302755,0.0010632532765496652,0.03144843841752994
r1_2,0.02949859057301881,0.028936313032877574,0.030076653561378574,0.001140340528501,0.02948473946968884
cantril_ladder,0.02781335711464794,0.027266819027849,0.028421994220099885,0.0011551751922508867,0.027795348365505103
i11_health_Very willing,0.026127084102290865,0.025393414845671182,0.026582512963220752,0.0011890981175495703,0.026028741562777874
household_size,0.02394532421236252,0.023481395711284155,0.024434842894453728,9.534471831695729e-4,0.023941147349201847
i9_health_Yes,0.012489254868619744,0.012097921009081088,0.012967552087386152,8.696310783050647e-4,0.012521386187490696
state_New South Wales,0.012007504828596593,0.01173524189834974,0.012358347346952311,6.231054486025706e-4,0.012029900376055702
state_South Australia,0.011632787676345348,0.011280462154792028,0.011982408640740365,7.019464859483373e-4,0.011614662961416262
gender_Male,0.00959901339440794,0.009249679998753618,0.009972011771325184,7.223317725715654e-4,0.00959462459460759
state_Tasmania,0.008263116720368575,0.007824338422833373,0.00880707904842944,9.827406255960673e-4,0.008321752384628905
WCRex2_A lot of confidence,0.008037784958121678,0.007592572402517712,0.008406180067554933,8.136076650372207e-4,0.008018254835060362
employment_status_Part time employment,0.005916941519800403,0.005715156445795301,0.006159689227910157,0.00044453278211485647,0.005934039381530181
employment_status_Not working,0.00574506308131807,0.005467188782585376,0.006110775889765751,6.43587107180375e-4,0.005792387560283242
d1_comorbidities_No,0.005669332041876347,0.005405836214297575,0.005894370369446156,4.885341551485812e-4,0.005655455018269001
WCRex1_Very well,0.005512634543535512,0.005211659398676464,0.005755988644843989,5.443292461675252e-4,0.005506908586834946
WCRex1_Very badly,0.005360381852427268,0.005044927109944809,0.005747230278245441,7.023031683006326e-4,0.005402048819769818
WCRex2_Not very much confidence,0.005225561519592836,0.004995599400403643,0.005481555700717832,4.859563003141885e-4,0.00524010687810412
employment_status_Retired,0.005042817582413539,0.004713708453227926,0.005478611972761911,7.649035195339852e-4,0.0051078287000667875
WCRex1_Somewhat well,0.004946201442953898,0.004686900586582856,0.005179321317302571,4.924207307197151e-4,0.0049463816119024555
WCRex1_Somewhat badly,0.004413390037020808,0.0041891743866281144,0.004665662437300022,4.764880506719074e-4,0.004438107376797382
