number,value,max_depth,num_trees,splitrule,min_node_size,max_features_mode,class_weight_mode,std_err
14,0.8233434532349525,22,760,gini,115,all,balanced,0.002975598697953307
18,0.8228805424608868,27,791,gini,127,all,none,0.0029511956105923312
29,0.822785043895607,19,627,gini,129,all,balanced,0.0029518616375039555
10,0.8226187700690032,19,580,gini,95,sqrt,balanced,0.0028969606182733866
46,0.822153318644531,18,700,gini,144,all,balanced,0.0029151910335731912
6,0.8201965267814443,15,460,gini,85,log2,balanced,0.0027665697635276864
16,0.8195358082257294,15,237,gini,88,log2,none,0.0026688992463374224
17,0.8181011520461843,30,557,gini,153,log2,balanced,0.0028311369681055048
13,0.813604606476737,16,402,extratrees,37,all,none,0.0031610581489113537
9,0.8111600951356153,27,671,extratrees,91,all,balanced,0.0031743194443946275
47,0.810212219033955,7,604,gini,25,sqrt,balanced,0.0026923428946846973
31,0.8088424775397964,7,73,gini,98,sqrt,balanced,0.0029507679168088996
30,0.8086013826262212,7,964,gini,77,log2,balanced,0.0026822234448735443
4,0.8081510683541709,17,706,extratrees,144,all,none,0.003179486390213192
42,0.8080771546423448,7,933,gini,157,log2,balanced,0.002635699156635759
36,0.8068499777959964,17,364,extratrees,168,all,none,0.003023828204940002
7,0.802461356493817,25,146,extratrees,16,sqrt,none,0.0026460271809368406
45,0.8018928486028558,6,201,gini,133,all,balanced,0.001960829285126981
2,0.7998386153241784,28,509,extratrees,16,log2,balanced,0.002984503281965821
8,0.7991408758625401,18,690,extratrees,8,log2,balanced,0.0028889502965242257
49,0.7986615042358407,4,437,gini,176,sqrt,none,0.002458280112308737
5,0.7984983902097424,4,627,gini,191,sqrt,none,0.0023956961778431544
38,0.7942564861310377,17,282,extratrees,80,sqrt,balanced,0.0031532193900314243
48,0.7939696274851404,15,162,extratrees,53,sqrt,none,0.0032711821814879498
3,0.7919898203183713,18,126,extratrees,64,log2,balanced,0.0029556290340946767
24,0.789684575049532,19,366,extratrees,123,log2,none,0.003162578406427322
23,0.7895652925804468,2,808,gini,100,log2,balanced,0.0025147989584775564
19,0.7891271798353487,2,625,gini,124,log2,balanced,0.002532549515143919
1,0.7882430228188837,7,247,extratrees,125,all,balanced,0.0027000166574581786
35,0.7875043660756985,2,629,gini,75,sqrt,balanced,0.0026924441288672923
37,0.7874405402404865,2,750,gini,134,sqrt,none,0.0026161062702019086
33,0.787421325237412,2,425,gini,32,sqrt,balanced,0.0025777347861133102
32,0.7874037755346041,19,716,extratrees,184,log2,balanced,0.0032548529984175777
28,0.7862629487770718,13,125,extratrees,127,log2,none,0.0033120841150181754
15,0.7859665146546423,11,348,extratrees,185,sqrt,none,0.0031075013975447514
21,0.7833845946915351,9,721,extratrees,149,sqrt,balanced,0.0031395875161771432
40,0.7819190023570404,6,660,extratrees,27,all,none,0.0028636496843659092
26,0.778924344127895,7,512,extratrees,61,sqrt,balanced,0.0031912520589589197
43,0.776053281068525,6,803,extratrees,50,sqrt,none,0.003233287911255275
41,0.7735468013424882,5,664,extratrees,147,all,none,0.002750050197592123
20,0.7728179442508711,5,720,extratrees,150,sqrt,balanced,0.0032915499798776386
50,0.7690413955216233,5,50,extratrees,151,sqrt,none,0.0030587404337258195
12,0.7672621716369474,4,212,extratrees,105,log2,none,0.0032492345803980167
39,0.763949900081984,3,251,extratrees,26,log2,balanced,0.0033577341600401203
25,0.7638071859841498,4,341,extratrees,156,all,none,0.002976520858613129
11,0.7623776324554212,2,946,extratrees,117,log2,none,0.004030898928193402
22,0.7604110195907632,2,794,extratrees,140,sqrt,balanced,0.003481845602595524
27,0.744637893267063,3,867,gini,74,all,none,0.004043746801393109
44,0.7444091920304707,3,236,gini,152,all,balanced,0.004060057555346616
34,0.7145264355742297,2,377,gini,77,all,balanced,0.00462758515396629
