number,value,max_depth,min_node_size,max_features_mode,std_err
17,0.8287581343513015,30,7,log2,0.0023627349117186346
85,0.827780731194917,21,25,sqrt,0.002744713482862152
46,0.8268722031495525,18,8,log2,0.002478244536840309
24,0.8265310300949649,19,35,sqrt,0.003009642763845292
99,0.8262805945548951,21,42,sqrt,0.0027296764564434767
77,0.8260060014859603,18,26,all,0.0029945156728494716
7,0.825998112659698,25,13,all,0.0029882134529588223
51,0.8259372651499625,14,37,all,0.0029937861834624666
29,0.8258692120140739,19,4,all,0.0029090224435226737
2,0.8256540360046457,28,1,all,0.0030638636873715854
91,0.8251436428229828,31,59,sqrt,0.002950490930013363
86,0.8251287405205985,26,53,sqrt,0.0027561381394105014
36,0.8243236532417845,17,58,sqrt,0.0027144847211201463
48,0.8240192555680809,15,95,all,0.0029566095706515224
8,0.8233412755346041,18,44,log2,0.002853079076443949
57,0.8229200613172097,23,124,all,0.00291336798472722
18,0.8225319609551137,27,132,all,0.002856710665727544
3,0.8225159271025483,18,132,all,0.002855659755566289
10,0.8225100345016055,19,88,sqrt,0.002832503455666703
64,0.8222438426590148,22,61,log2,0.0025195305741976125
68,0.82209193738471,14,77,sqrt,0.002833748329746625
88,0.8218397297943568,16,151,all,0.002867181412565775
16,0.8212727270786363,15,165,all,0.0028234857848512835
9,0.8207197513151603,27,128,sqrt,0.0027548010482033153
92,0.8205409557115529,13,181,all,0.002771507989535163
14,0.8205085891063743,22,187,all,0.002813661630964246
32,0.8203568866571018,19,132,sqrt,0.002870587058485243
67,0.8198806534809046,14,129,sqrt,0.002652552929787551
38,0.8192973713875794,17,172,sqrt,0.0027129869426961717
56,0.8187959025073444,24,127,log2,0.0027558578407372177
52,0.8187321407221425,9,115,all,0.0025377749751721145
4,0.8186382327321172,17,190,sqrt,0.0028321239940848576
95,0.8185027883104462,15,189,sqrt,0.0027099611124313913
13,0.8179029386144702,16,140,log2,0.0025440525862184494
6,0.8177999888979982,15,131,log2,0.002617923266009885
66,0.8177688392430142,14,127,log2,0.002792855098407523
28,0.8177134359841498,13,114,log2,0.002478156888444651
80,0.817709368808499,9,157,all,0.0025091755166030106
59,0.8176033980665437,18,149,log2,0.0028124178416099395
72,0.8173744833299174,10,77,sqrt,0.002835668697413393
61,0.8171173225387717,10,100,sqrt,0.0027273005705510224
89,0.8169070890551342,11,155,sqrt,0.0029283307362118005
96,0.8168040112386418,11,170,sqrt,0.0027505899637136973
15,0.8163766909202705,11,198,sqrt,0.0027096617040436107
58,0.8158652942884471,10,150,sqrt,0.002744938939627212
90,0.8158398450843752,8,70,all,0.00239949998507729
74,0.8140581445993031,9,168,sqrt,0.0026720987231175484
70,0.8138462671654028,9,184,sqrt,0.0026185957939037275
21,0.8131024757463962,9,58,log2,0.0025205374848086544
76,0.8125566415590626,8,80,sqrt,0.0026769619764686016
98,0.8102279326364692,8,109,log2,0.0023967541007259177
