number,value,tree_depth,min_n,cost_complexity,std_err,.config
1,0.28695229969576885,10,11,7.943282347242822e-5,0.006127067811469702,pre0_mod01_post0
2,0.2756219338325269,9,14,8.75195877204175e-5,0.005681227879150183,pre0_mod02_post0
3,0.28482583888096813,11,17,9.64296357589579e-5,0.0051634063046829244,pre0_mod03_post0
4,0.2745068872997519,8,10,1.062467830894042e-4,0.006862852156690607,pre0_mod04_post0
5,0.29842243227769233,12,13,1.170633781617108e-4,0.006275371580204495,pre0_mod05_post0
6,0.30691473388192236,12,9,1.2898117108261278e-4,0.007109124862612779,pre0_mod06_post0
7,0.28938088676089224,10,8,1.4211227076380074e-4,0.007043610061079919,pre0_mod07_post0
8,0.27183097208033496,8,14,1.5658019951383673e-4,0.006244726616717209,pre0_mod08_post0
9,0.2750844774745445,9,20,1.7252105499420426e-4,0.006720768061457223,pre0_mod09_post0
10,0.28377583439047116,11,19,1.9008479046983887e-4,0.006071942633208228,pre0_mod10_post0
11,0.2843652121198514,10,13,2.0943662539726774e-4,0.006528351711665649,pre0_mod11_post0
12,0.27465044287526524,8,10,2.30758599619549e-4,0.005914324287733442,pre0_mod12_post0
13,0.29568631633306014,12,11,2.5425128578809717e-4,0.007080455993215676,pre0_mod13_post0
14,0.29239176498984026,11,8,2.80135676119887e-4,0.00734986440850516,pre0_mod14_post0
15,0.27185552948572583,8,16,3.0865526123848654e-4,0.0050945095940200785,pre0_mod15_post0
16,0.2841293908640839,12,15,3.400783206542651e-4,0.005518607552522463,pre0_mod16_post0
17,0.27988566072050025,9,9,3.7470044642998727e-4,0.0061619882720761925,pre0_mod17_post0
18,0.280848802159929,10,18,4.128473237715364e-4,0.00664644293049142,pre0_mod18_post0
19,0.27665853699608206,9,12,4.5487779470037773e-4,0.006250378759166077,pre0_mod19_post0
20,0.2849305937559639,11,12,5.011872336272725e-4,0.005846964142959564,pre0_mod20_post0
21,0.31074470682667804,12,8,8.054646456488166e-5,0.007038506574279098,iter01
22,0.3087663622483918,12,9,7.970230514990689e-5,0.00682340513967325,iter02
23,0.31061644700652247,12,8,8.956247218634073e-5,0.007113668432882747,iter03
24,0.31074470682667804,12,8,7.966125592207088e-5,0.007038506574279098,iter04
25,0.31061644700652247,12,8,1.0407713772877175e-4,0.007113668432882747,iter05
26,0.31061644700652247,12,8,9.991643845874388e-5,0.007113668432882747,iter06
27,0.31074470682667804,12,8,8.295567052805617e-5,0.007038506574279098,iter07
28,0.31074470682667804,12,8,8.327663737425868e-5,0.007038506574279098,iter08
29,0.31074470682667804,12,8,8.086158321744841e-5,0.007038506574279098,iter09
30,0.31074470682667804,12,8,8.416516183731279e-5,0.007038506574279098,iter10
31,0.3087875517810434,12,8,1.1415667969534013e-4,0.007126561354611969,iter11
32,0.31074470682667804,12,8,8.182043304653274e-5,0.007038506574279098,iter12
33,0.3086302440585112,12,9,1.0587299385159574e-4,0.006903416707176571,iter13
34,0.31074470682667804,12,8,8.618573265198214e-5,0.007038506574279098,iter14
35,0.31074470682667804,12,8,8.265443101294158e-5,0.007038506574279098,iter15
36,0.31074470682667804,12,8,8.180142188626584e-5,0.007038506574279098,iter16
37,0.301874221179429,11,8,8.432123997145682e-5,0.006791467535257419,iter17
38,0.31074470682667804,12,8,8.466584758671615e-5,0.007038506574279098,iter18
39,0.31074470682667804,12,8,8.369155111441122e-5,0.007038506574279098,iter19
40,0.3075813621922606,12,8,1.7208359453023698e-4,0.007300190968971418,iter20
41,0.31061644700652247,12,8,9.72813493471347e-5,0.007113668432882747,iter21
42,0.31074470682667804,12,8,8.236876460722027e-5,0.007038506574279098,iter22
43,0.31074470682667804,12,8,7.998231744977142e-5,0.007038506574279098,iter23
44,0.31074470682667804,12,8,8.677340833372632e-5,0.007038506574279098,iter24
45,0.31074470682667804,12,8,8.014522135976687e-5,0.007038506574279098,iter25
46,0.31074470682667804,12,8,8.050940783490738e-5,0.007038506574279098,iter26
47,0.31074470682667804,12,8,8.11983327879519e-5,0.007038506574279098,iter27
48,0.31074470682667804,12,8,8.117191360463954e-5,0.007038506574279098,iter28
49,0.31074470682667804,12,8,8.4288797531511e-5,0.007038506574279098,iter29
50,0.31074470682667804,12,8,8.622174205283991e-5,0.007038506574279098,iter30
51,0.31074470682667804,12,8,8.516749391575411e-5,0.007038506574279098,iter31
52,0.3000155062474039,11,8,1.373762146101549e-4,0.007389642045144399,iter32
53,0.3087875517810434,12,8,1.4576392759274026e-4,0.007126561354611969,iter33
54,0.31074470682667804,12,8,8.008477109949792e-5,0.007038506574279098,iter34
55,0.31074470682667804,12,8,7.943485783760259e-5,0.007038506574279098,iter35
56,0.288689841373194,12,8,4.77952739637327e-4,0.004380149053722387,iter36
57,0.31074470682667804,12,8,8.154475766177272e-5,0.007038506574279098,iter37
58,0.31074470682667804,12,8,8.562763166293692e-5,0.007038506574279098,iter38
