number,value,max_depth,min_node_size,max_features_mode,std_err
17,0.7811170391908124,30,7,log2,0.00444449857523865
46,0.7807851633979591,18,8,log2,0.0038624782885876676
85,0.779881450879576,21,25,sqrt,0.0041300752088292425
24,0.778424986247853,19,35,sqrt,0.0043333471969769
99,0.7782602411396882,21,42,sqrt,0.004250428492759705
86,0.778111493427035,26,53,sqrt,0.004354445548406391
91,0.7773649483031534,31,59,sqrt,0.004311691193550561
36,0.7773140092279713,17,58,sqrt,0.004454345668368723
8,0.7771513690402685,18,44,log2,0.004308383889776121
64,0.7758722790394827,22,61,log2,0.003910081796490753
10,0.7753255610314672,19,88,sqrt,0.004352396671451569
68,0.7752883741033039,14,77,sqrt,0.004351151889286778
32,0.7737637100486097,19,132,sqrt,0.004482523168115635
9,0.7736746017490486,27,128,sqrt,0.004389345032543856
67,0.7734029266814105,14,129,sqrt,0.004293264232775444
59,0.772748296417706,18,149,log2,0.004415714849402781
56,0.7726305611998608,24,127,log2,0.0043239844877248825
28,0.7725618004647664,13,114,log2,0.004391262622742051
72,0.7725522581586717,10,77,sqrt,0.004143799800498485
13,0.7725310686260203,16,140,log2,0.004139434663363901
6,0.772419788497592,15,131,log2,0.004414051085886957
38,0.7723753045118268,17,172,sqrt,0.004326024239959299
77,0.7722737070175242,18,26,all,0.003527714125491497
95,0.7722626211030905,15,189,sqrt,0.004262844170741215
66,0.7722097174354772,14,127,log2,0.00428180106627483
4,0.7721600413125722,17,190,sqrt,0.0041629610616914885
51,0.7719746679838791,14,37,all,0.003980086208578386
29,0.771900013471491,19,4,all,0.002862838245623811
2,0.7718061340188825,28,1,all,0.0026358902838302467
89,0.7716722610774948,11,155,sqrt,0.004223265430174974
7,0.7715744524400238,25,13,all,0.0029369047741020613
61,0.7715303894383511,10,100,sqrt,0.00399420833368195
96,0.7711374709520976,11,170,sqrt,0.004083383070595263
58,0.7710754459624819,10,150,sqrt,0.004102457062039293
15,0.7710165081895439,11,198,sqrt,0.003921793872698867
21,0.7700413687034813,9,58,log2,0.0037297167813790536
76,0.769591477036721,8,80,sqrt,0.003861628553168746
74,0.7695155595720556,9,168,sqrt,0.004015273065726181
70,0.7692330792460456,9,184,sqrt,0.004050560469757931
48,0.7690662292174186,15,95,all,0.0044931343475477
26,0.7681639199793437,7,17,sqrt,0.0037099535108841325
98,0.7681105953276379,8,109,log2,0.0038109008813036263
57,0.7679569361339066,23,124,all,0.004566425754140623
55,0.7678532337191419,8,153,log2,0.003839933181099211
18,0.7674956778966512,27,132,all,0.004613575760932368
3,0.7674946956004356,18,132,all,0.004610597132986765
42,0.7670571528003862,7,144,sqrt,0.003772530433123623
88,0.7668016154562907,16,151,all,0.004580386554700335
16,0.7663191676863838,15,165,all,0.004603986013426978
31,0.7661305668129821,7,35,log2,0.003890721006711071
52,0.7659255475599762,9,115,all,0.004631221642067936
1,0.7659211272270059,7,132,log2,0.004076649730659578
100,0.7656672036552645,6,32,sqrt,0.0035659069519782265
92,0.7656064416179261,13,181,all,0.004716807100253678
90,0.765561957632161,8,70,all,0.004592739246252575
14,0.7655366985866161,22,187,all,0.004691680930618332
93,0.7655196487308733,7,196,log2,0.0040020294365622116
80,0.7648559673091819,9,157,all,0.004670806149414382
87,0.7645805033847121,6,176,sqrt,0.0034914756156673816
78,0.7641436622248168,6,27,log2,0.003697778445314047
40,0.7641011428314829,6,16,log2,0.0036789837504709274
45,0.7641011428314829,6,16,log2,0.0036789837504709274
73,0.7636999449914119,6,75,log2,0.003782431809324721
20,0.7625799869775588,5,20,sqrt,0.0034629504896664977
47,0.7625516407153362,7,91,all,0.0045291756348042125
69,0.7624549547021117,7,98,all,0.004533521250384441
83,0.761827127092291,7,133,all,0.00451457940211563
30,0.7615445064382501,7,154,all,0.004491590559399829
71,0.7610444475004771,5,32,log2,0.0036917297783528227
41,0.7609581457615322,5,64,log2,0.0038218438542424724
50,0.7609410257417739,5,105,log2,0.003756981327073641
65,0.760938078853127,5,74,log2,0.003801967431903987
84,0.7606471788452687,5,144,log2,0.0037178976995548667
60,0.7586916375719883,4,140,sqrt,0.0032360529202525795
5,0.7580998742660844,4,66,log2,0.003691866635128156
12,0.758060582417459,4,124,log2,0.003698271284391743
53,0.7576696285236368,4,185,log2,0.0038210122679268686
43,0.7575493674012371,6,191,all,0.004254362060779866
27,0.7553227825364572,3,21,sqrt,0.0030726565692381844
39,0.7552757726461377,3,125,sqrt,0.0030499384994477617
94,0.7552406906384364,3,184,sqrt,0.00304848621387402
79,0.7552398486702516,3,147,sqrt,0.0030523762262795236
63,0.754802446198233,3,156,log2,0.0039034315250389283
97,0.7532741336147378,5,39,all,0.003892673401097083
11,0.7517459613592734,2,11,sqrt,0.0032038958989213696
22,0.7517459613592734,2,103,sqrt,0.0032038958989213696
37,0.7517459613592734,2,89,sqrt,0.0032038958989213696
75,0.7517459613592734,2,134,sqrt,0.0032045323993249966
81,0.7506702768391391,2,50,log2,0.004035199881037881
62,0.7506636814216914,2,123,log2,0.00403415215311923
19,0.7506554020678738,2,136,log2,0.004027995357167451
25,0.7448573986550961,4,73,all,0.00319883815757152
49,0.7448300346890893,4,117,all,0.0032108828494230718
44,0.7347009469335518,3,85,all,0.002348099350746554
54,0.7347009469335518,3,88,all,0.002348099350746554
82,0.7347009469335518,3,152,all,0.002348099350746554
23,0.7145701191104326,2,198,all,0.00212626714130623
33,0.7145701191104326,2,171,all,0.00212626714130623
34,0.7145701191104326,2,181,all,0.00212626714130623
35,0.7145701191104326,2,9,all,0.00212626714130623
