variable,median_importance,q1,q3,iqr,mean_importance
i2_health,0.17535740995923368,0.17389520000715308,0.17658660148803088,0.002691401480877792,0.17526641680661761
r1_1,0.11376317717500921,0.11295772614215688,0.1148370361548323,0.0018793100126754253,0.11389036072317714
age,0.1078453646547923,0.1068873307055075,0.1087216168657957,0.0018342861602882038,0.10775867675287044
week_number,0.0967250328095903,0.09608909838724876,0.09770682802523334,0.0016177296379845801,0.09687828764585041
r1_2,0.05080958335048506,0.050163189170654585,0.05148906535165251,0.0013258761809979286,0.05081752493922531
cantril_ladder,0.045236655133350706,0.04476025790778268,0.045672218064051265,9.119601562685847e-4,0.045234256076770445
state_New South Wales,0.03493814838209158,0.03443858493789826,0.03538570368813716,9.471187502389025e-4,0.03494676250429785
household_size,0.034768935748887966,0.034247544361779125,0.03526203290759697,0.0010144885458178432,0.03473756345580044
i9_health_Yes,0.022326402656587127,0.021803169723699122,0.022796862741965775,9.936930182666524e-4,0.02231022909879553
i11_health_Very willing,0.021097832249753923,0.02069247077570443,0.021484740228465304,7.922694527608756e-4,0.02108132791156489
gender_Male,0.016918916920195072,0.016537286589159546,0.017240914480272825,7.036278911132787e-4,0.016892181849001018
i9_health_Not sure,0.01341218515899519,0.012996401745081224,0.013881592153435221,8.851904083539974e-4,0.013456029045407525
state_Victoria,0.012629693597549674,0.012228409656334748,0.012992689286611826,7.642796302770784e-4,0.012622256854891578
employment_status_Part time employment,0.011033982791689446,0.010707337566735257,0.011286597820051468,5.792602533162116e-4,0.011008189001083956
WCRex1_Somewhat well,0.010840897378132743,0.010593853088546665,0.011093082243816114,4.992291552694487e-4,0.01084158268125415
WCRex2_A lot of confidence,0.010774679629504652,0.01052536693524016,0.011028462589456972,0.00050309565421681295,0.010782127388993184
d1_comorbidities_No,0.010761717588867835,0.010490782742655273,0.011098236184625791,6.074534419705183e-4,0.01079899056637103
state_Western Australia,0.010071374884961598,0.009733597884929265,0.010330728168333306,5.971302834040411e-4,0.010027516859733611
i11_health_Somewhat willing,0.009782665115926169,0.009537734277158833,0.010095330538737011,5.57596261578178e-4,0.009794167341829139
d1_comorbidities_Yes,0.009497347972265945,0.009213184297136525,0.009788358474828332,5.751741776918069e-4,0.009497445305194042
WCRex1_Very well,0.00922079715015693,0.008981991484300319,0.009477909633093543,4.95918148793224e-4,0.009221542362827006
PHQ4_4_Not at all,0.008736062062636154,0.00848660561268143,0.008961345370844498,4.7473975816306885e-4,0.008740460766092325
PHQ4_1_Several days,0.008714972493961057,0.008434179095465458,0.008979555748984881,5.453766535194228e-4,0.00871865560373718
PHQ4_3_Several days,0.008611530720369475,0.008367898548687889,0.008909760800169482,5.418622514815931e-4,0.008640302228055702
PHQ4_3_Not at all,0.008317594952622992,0.008051736128010422,0.008548276534290864,4.965404062804418e-4,0.008309767703466326
PHQ4_1_Not at all,0.008260910322576698,0.007995512079188288,0.008521797631502435,5.262855523141471e-4,0.00826564313292815
state_Queensland,0.008236021096767004,0.008008551255271019,0.008407957392609713,3.9940613733869396e-4,0.00819796598264766
PHQ4_2_Several days,0.00817117715022399,0.007911437248659317,0.008374597592309964,4.631603436506468e-4,0.008132757742375004
PHQ4_4_Several days,0.00799214069851853,0.007756364252252816,0.00821520879658378,4.588445443309639e-4,0.007989145563600275
employment_status_Unemployed,0.007579633198056655,0.0073432471069426325,0.0077992394191412785,4.5599231219864596e-4,0.007584532789669419
PHQ4_1_Nearly every day,0.00749783584772855,0.007235294608529613,0.007727830822511876,4.925362139822633e-4,0.00750438611054437
PHQ4_2_Not at all,0.007374150643274336,0.0071359431962332845,0.0076043898827348475,4.6844668650156303e-4,0.007377135219354992
employment_status_Not working,0.007194852512651348,0.006955869089138248,0.00746364700577661,5.077779166383625e-4,0.007203041281535021
WCRex2_Not very much confidence,0.006802775649354144,0.006582056089270891,0.007062005723809192,4.799496345383007e-4,0.006823520785949547
state_South Australia,0.006727117112923875,0.006494496736592096,0.006882699516515429,3.882027799233332e-4,0.006704605089386548
employment_status_Retired,0.0060429188149449115,0.00578636797135369,0.006247991555023054,4.616235836693641e-4,0.006018993595310671
WCRex1_Somewhat badly,0.005700740202114513,0.005508994995060986,0.005873896939981579,3.6490194492059223e-4,0.005689489203719358
PHQ4_4_Nearly every day,0.00541854315028195,0.00520453054782698,0.005663433034919356,4.589024870923766e-4,0.005444448009293674
PHQ4_3_Nearly every day,0.004991815364058834,0.004791893210453367,0.005184125933215047,3.9223272276168054e-4,0.0049902815574660335
WCRex1_Very badly,0.004958305168577868,0.004737494679918317,0.005160433034403235,4.229383544849183e-4,0.004956809871383101
PHQ4_2_Nearly every day,0.0047708615452944315,0.0045366029951586315,0.00499160386686417,4.5500087170553816e-4,0.004763240606016572
state_Tasmania,0.0047002109184853666,0.0044950476388821575,0.004937470131190992,4.424224923088348e-4,0.004730732271296576
PHQ4_1_N/A,0.0032937239410028335,0.003163246167570355,0.0034674939962408163,3.0424782867046135e-4,0.003309871064213657
i11_health_Very unwilling,0.0028034268313518523,0.0026637355888813104,0.002945806262533186,2.8207067365187575e-4,0.0028263873784116784
i11_health_Somewhat unwilling,0.0027118589169584846,0.0025593560506861385,0.002903557140584823,3.4420108989868456e-4,0.002731742677709145
WCRex2_Don't know,0.002573549421716659,0.0024178723261244757,0.0027680713824444246,3.5019905631994896e-4,0.002591355688581695
PHQ4_2_N/A,0.0024538567072008083,0.002295295530723481,0.0025976597682468,3.02364237523319e-4,0.0024530063745526118
state_Northern Territory,0.0023304005864226065,0.0021471253178879926,0.0025156758672319635,3.6855054934397096e-4,0.0023335743600428342
i11_health_Not sure,0.0020665262747521515,0.0019031105797898415,0.002240704462617476,3.3759388282763453e-4,0.0020810384882263785
WCRex2_No confidence at all,0.0018583422057031757,0.0017597419968396308,0.00198911727638532,2.293752795456891e-4,0.001876088241089235
PHQ4_3_N/A,0.001684970279238767,0.001548602055012583,0.0017955837377256238,2.469816827130407e-4,0.0016813502078161693
d1_comorbidities_Prefer_not_to_say,0.0011934706244426554,0.0010912490904483488,0.0013124152283480303,2.2116613789968155e-4,0.0011992355039125793
PHQ4_2_Prefer not to say,6.016924383867091e-4,5.358925724505033e-4,6.84065599719011e-4,1.481730272685077e-4,6.142076454333852e-4
PHQ4_4_N/A,5.628770395318984e-4,5.033503587607511e-4,6.319830265895778e-4,1.286326678288267e-4,5.66796670401017e-4
PHQ4_4_Prefer not to say,4.587292012441231e-4,3.885478770554802e-4,5.358426255543434e-4,1.4729474849886317e-4,4.705036811377416e-4
PHQ4_3_Prefer not to say,4.030481385227978e-4,3.2405018797700954e-4,4.8202376207408845e-4,1.579735740970789e-4,4.104240835590397e-4
PHQ4_1_Prefer not to say,2.0219234650757753e-4,1.563513777187024e-4,2.47318600127525e-4,9.09672224088226e-5,2.0506764952802072e-4
