number,value,learning_rate,max_depth,subsample,colsample_bytree,std_err
9,0.7817914557068604,0.012556871608830988,9,0.6253058859612792,0.6211576770059765,0.004347799274736484
78,0.77826578409690494,0.06643139456864446,3,0.6078986941603943,0.7024339724332094,0.004559788748808736
32,0.7777241178979983,0.08075425060465931,9,0.8540226349374279,0.550352993234992,0.0024940277252072617
98,0.7769634698070209,0.16531235334230587,4,0.8038449195679277,0.8593422801233828,0.003519183636029804
56,0.7768117752057209,0.012127164772246034,9,0.9754621622385458,0.8052973748184741,0.004169296344903641
8,0.7751552028020702,0.39918675028020517,2,0.9913957385579124,0.5521436520852149,0.004635134435996345
6,0.7743951861872312,0.07671054234029724,2,0.44889644668437545,0.68893261263147,0.004807865714858102
7,0.7743771540352729,0.1378610907820985,2,0.21523423024918886,0.5550156250596047,0.00456023940712034
50,0.774182940040639,0.17408863209886477,4,0.6237349062925205,0.6971634509041905,0.004276566625363737
76,0.7722084544832,0.30234050179133193,2,0.4257719798944891,0.8167271011509001,0.004097061844717619
26,0.7720394995341109,0.17421959615079688,5,0.7249644894851371,0.7246443271636963,0.0034071438290964443
96,0.771749020510345,0.1915623179357499,5,0.960528748552315,0.8281111752614378,0.003965787651183753
95,0.7715559291399575,0.5137591630360112,2,0.8965493704658002,0.7070898143574595,0.004724140220429379
22,0.7715275127137196,0.0870922113279812,4,0.16530001964420082,0.621524891257286,0.004304707230333253
28,0.7707677767549423,0.7506140669877641,2,0.916864781966433,0.6373290597461164,0.003923695176333428
84,0.7701405806212602,0.39992643712088466,2,0.5082255495013669,0.6829299129545688,0.005205301562377412
74,0.7700206703189375,0.47559516743524,2,0.6248324408661574,0.5653570218011736,0.004096145530980858
82,0.7697768503654142,0.10678090753033756,9,0.74587909390684215,0.8879679704084993,0.0025393237999336983
87,0.7670265612896707,0.24156927790725605,10,0.8406832777662203,0.774704595375806,0.0032140892160976466
77,0.7661874698294734,0.29476151049137117,4,0.8217335278633981,0.7695092333480715,0.003531319611574583
83,0.7658101979186547,0.31369090364314617,5,0.9929024003213271,0.5018299262970686,0.0039080098355590495
63,0.7644991832908608,0.2362430544081144,5,0.7712851057294756,0.5884944714605809,0.00283419714203802
40,0.7638609714067605,0.22976689393399283,4,0.4599038433516398,0.5239158951677382,0.003791537822127185
61,0.7635350595552163,0.2161685410887003,8,0.8020073966355994,0.6770559811033309,0.0018413324327744463
37,0.7632106211479955,0.020929995093028994,2,0.3736860934644938,0.6600491866469383,0.004544857774711401
5,0.7625850387866677,0.14473621369106696,8,0.4569210471352563,0.7938184255734086,0.0018819858125709696
