variable,median_importance,q1,q3,iqr,mean_importance
i2_health,1079.6612897620494,1069.878118457351,1091.0344553563768,21.156336899025746,1080.395298774909
week_number,931.6554384893376,924.951406002778,938.7047086103564,13.753302607578462,932.1110432043882
r1_1,779.6997131896806,770.9397642202771,789.7441470417841,18.804382821507033,780.0690714466597
age,595.3557836379904,592.2070839448168,598.9109055621041,6.7038216172873035,595.3620930489421
state_Western Australia,420.25931982845157,414.0458851407674,430.00627038549663,15.960385244729252,421.76067869210215
cantril_ladder,390.58749416291494,388.0312393603693,393.00640963225425,4.975170271884963,390.60694054746233
r1_2,389.99296715936146,386.45855120650185,393.1438277094336,6.6852765029317425,389.6403377535047
i11_health_Very willing,378.4985108582979,370.9899571478805,384.44888238897124,13.458925241090753,377.81605522323105
household_size,320.63166105077795,318.1764688507832,322.8028918201904,4.626422969407201,320.6396628832424
state_Queensland,288.24278871946535,280.79592396977364,295.06772147087884,14.271797501105198,287.66978579636594
state_New South Wales,284.90535768002337,278.8066343344469,290.9725093394463,12.16587500499935,284.6648063623532
state_Victoria,259.4826977948235,254.6290384122253,264.3265115762114,9.697473163986075,259.394999891985
i9_health_Yes,235.13277271157776,230.33304490447978,240.65317216258782,10.320127258108045,235.4559739458434
i9_health_Not sure,151.21746553506642,147.42170638216524,155.556122656929,8.134416274763765,151.2871602922565
gender_Male,123.55463910733039,122.01560459562313,124.38012925220596,2.36452465658283,123.33676601570167
employment_status_Part time employment,108.31808701024029,107.24633962852391,109.55089454218947,2.304554913665555,108.49389552817249
WCRex1_Somewhat well,104.40052437071057,103.64250663782741,105.49521946862447,1.85271283079706,104.59706958639148
i11_health_Somewhat willing,99.9178023002863,98.56618881303487,101.63016735831204,3.063978545277166,100.09328115122624
WCRex2_A lot of confidence,95.02973145268086,94.02642245030955,95.90387982460469,1.8774573742951333,94.97476720448682
d1_comorbidities_No,92.53150376783398,91.68818528861672,93.56745581262454,1.879270524007822,92.55590201460372
d1_comorbidities_Yes,92.52352013720855,91.44868020423593,93.32374209553883,1.8750618913029058,92.40893094522167
WCRex2_Not very much confidence,91.71106326629972,90.62637230190909,92.60591754159773,1.9795452396886475,91.60275787828793
WCRex1_Very well,91.50423076630148,90.50170748805957,92.73735800906273,2.2356505210031656,91.62101430199493
WCRex1_Somewhat badly,88.98935152379944,87.82467917640477,90.02024979623629,2.195570619831514,88.95859197374915
employment_status_Retired,85.13947392194686,84.11856405410464,86.13052560273655,2.0119615486319162,85.080384304773915
PHQ4_3_Several days,85.06943485654423,84.23276249124507,85.92450308041978,1.6917405891747137,85.06453726598866
PHQ4_1_Several days,83.41689225501511,82.65442501534822,84.30107292078455,1.6466479054363248,83.46676084258557
PHQ4_1_Not at all,82.48604894681486,81.47228747398991,83.69055927950441,2.2182718055145045,82.52450869293939
WCRex1_Very badly,81.73711232403983,80.84571798646839,82.75181885293489,1.9061008664665025,81.80074981848173
PHQ4_4_Not at all,80.91597158526753,79.94437503738966,81.81509522976918,1.8707201923795225,80.87145401203745
PHQ4_2_Several days,80.14501538464938,79.38673545026805,80.97872852054888,1.5919930702808358,80.17524863638451
PHQ4_2_Not at all,79.42022180191994,78.3951615909787,80.37536233190377,1.9802007409250706,79.39492271631244
PHQ4_4_Several days,78.86963413706931,78.02553825836688,79.65372878973385,1.6281905313669682,78.88723768060659
employment_status_Unemployed,77.6033873049148,76.74538871961866,78.48611759434029,1.7407288747216256,77.65517211826979
PHQ4_3_Not at all,77.143593083933,76.26796417962123,77.9929744262408,1.7250102466195756,77.15299409361867
employment_status_Not working,76.91498323696906,76.01136809956309,77.88012994612751,1.868761846564425,77.03307260062891
i11_health_Very unwilling,68.0642176683737,65.74524793623667,70.39611106690215,4.650863130665485,68.2348078525609
WCRex2_No confidence at all,64.04652408075754,63.096121588251044,64.88092325012153,1.7848016618704818,64.00256728668504
PHQ4_1_Nearly every day,62.43135976660598,61.42871583587133,63.226140232894075,1.7974243970227448,62.33587267253964
PHQ4_3_Nearly every day,54.29157560264992,53.54680017416778,54.97024945496267,1.423449280794891,54.280979928458
state_South Australia,54.235048280076406,53.28359413761044,55.22609852007084,1.942504382460399,54.238356637737105
PHQ4_4_Nearly every day,54.00676668957685,53.359727232988384,54.80188323682806,1.4421560038396777,54.10321637558715
PHQ4_2_Nearly every day,53.30411427738245,52.452399565617554,54.14958416314993,1.6971845975323774,53.30522097180734
i11_health_Somewhat unwilling,44.626078214880906,43.10426503137704,46.328625992798216,3.2243609614211763,44.75386199127603
WCRex2_Don't know,41.12858166547588,40.20046177927402,41.99019607400679,1.7897342947327672,41.12414424004363
PHQ4_2_N/A,33.77179073825894,33.179831105496504,34.33628504428696,1.156453938790456,33.76019048102809
