number,value,max_depth,num_trees,splitrule,min_node_size,max_features_mode,class_weight_mode,std_err
14,0.8304759128468917,22,760,gini,115,all,balanced,0.002334185845766776
18,0.8299112798675532,27,791,gini,127,all,none,0.002331574198436156
29,0.829705561828572,19,627,gini,129,all,balanced,0.002274929554604837
10,0.8291390223442385,19,580,gini,95,sqrt,balanced,0.0027047702537387414
46,0.8290115940103763,18,700,gini,144,all,balanced,0.0022534673197334132
6,0.8252469231469387,15,460,gini,85,log2,balanced,0.0030361652118412324
16,0.8249026452449305,15,237,gini,88,log2,none,0.0028088902744233934
17,0.8232155113246397,30,557,gini,153,log2,balanced,0.0030689555218532203
13,0.822566869125197,16,402,extratrees,37,all,none,0.003505784615302396
9,0.8190720609687997,27,671,extratrees,91,all,balanced,0.0038469247383595877
47,0.8170012890433773,7,604,gini,25,sqrt,balanced,0.0023494218241559986
4,0.8158650735664927,17,706,extratrees,144,all,none,0.0038044828111506892
31,0.8148629284408725,7,73,gini,98,sqrt,balanced,0.0024300344903151225
36,0.8146430038646701,17,364,extratrees,168,all,none,0.003845798595729323
30,0.8142150857435246,7,964,gini,77,log2,balanced,0.00287741177749116
42,0.8133920290871162,7,933,gini,157,log2,balanced,0.002795372445776302
45,0.8078051084493841,6,201,gini,133,all,balanced,0.002282408598480167
7,0.8070144623778914,25,146,extratrees,16,sqrt,none,0.003851512434985566
8,0.8054931328920082,18,690,extratrees,8,log2,balanced,0.004002419742961367
5,0.8054075861678758,4,627,gini,191,sqrt,none,0.0023583057636735964
49,0.8053454095049729,4,437,gini,176,sqrt,none,0.002321955963256951
2,0.8050452887186564,28,509,extratrees,16,log2,balanced,0.0040878135468120315
48,0.8000454486190753,15,162,extratrees,53,sqrt,none,0.0039954684505238034
38,0.7992875821334652,17,282,extratrees,80,sqrt,balanced,0.004084425920414901
3,0.7956115330022164,18,126,extratrees,64,log2,balanced,0.004339815135718285
1,0.7956097187474631,7,247,extratrees,125,all,balanced,0.003780102476811256
35,0.7955341965495949,2,629,gini,75,sqrt,balanced,0.0024047236607088974
23,0.795511779740863,2,808,gini,100,log2,balanced,0.00263633234648602
37,0.7954396093017764,2,750,gini,134,sqrt,none,0.0023701804547493766
19,0.7952658405965023,2,625,gini,124,log2,balanced,0.0028156755311940307
33,0.7945766390407942,2,425,gini,32,sqrt,balanced,0.0021081746708215823
24,0.7942156638450393,19,366,extratrees,123,log2,none,0.004235236083911759
32,0.7918183875641754,19,716,extratrees,184,log2,balanced,0.004369662189587904
28,0.7906349707136233,13,125,extratrees,127,log2,none,0.0044084234265341655
15,0.7906276214443682,11,348,extratrees,185,sqrt,none,0.0037537802508759654
40,0.7898847302479932,6,660,extratrees,27,all,none,0.0032968027674610437
21,0.7887198249459414,9,721,extratrees,149,sqrt,balanced,0.004036523083626367
26,0.7859110510869538,7,512,extratrees,61,sqrt,balanced,0.003912521350852132
43,0.7827049861870639,6,803,extratrees,50,sqrt,none,0.0041172572181606215
41,0.7814053340319751,5,664,extratrees,147,all,none,0.0030091287792285005
50,0.7796729359930923,5,50,extratrees,151,sqrt,none,0.003971895861935327
20,0.7796446151688917,5,720,extratrees,150,sqrt,balanced,0.0039757683579199786
12,0.77488846945779,4,212,extratrees,105,log2,none,0.004774640538858717
25,0.7725161929924256,4,341,extratrees,156,all,none,0.0026451556867254163
39,0.7721647810717264,3,251,extratrees,26,log2,balanced,0.0048012109126697455
22,0.77026734735045,2,794,extratrees,140,sqrt,balanced,0.004275824098257939
11,0.7699559720346467,2,946,extratrees,117,log2,none,0.004492052195031234
27,0.7629008273001675,3,867,gini,74,all,none,0.0018526461017828232
44,0.7622388088156791,3,236,gini,152,all,balanced,0.001955087496994231
34,0.7228898372213736,2,377,gini,77,all,balanced,0.002861637176693754
