rank_before,variable_before,median_importance_before,q1_before,q3_before,iqr_before,rank_after,variable_after,median_importance_after,q1_after,q3_after,iqr_after
1,protective_behaviour_nomask_scale,0.17594094952547729,0.17415828271486675,0.17790572126218332,0.00374743854731657,1,protective_behaviour_nomask_scale,0.19695422746374364,0.19518244694267503,0.1984012724740541,0.00321882553137903
2,age,0.11540292529417084,0.11390100877254968,0.11664277899886688,0.00274177022631719,2,week_number,0.1960899605865861,0.194759548400068,0.19758144624063595,0.00282189784056796
3,week_number,0.10040594462996608,0.09928000577813824,0.10165120864777408,0.00237120286963582,3,age,0.06535801286985365,0.0643897234639925,0.06601751094034107,0.00162778747634857
4,i2_health,0.06138483742920703,0.06061821281367063,0.0622164507139588,0.00159823790028817,4,i2_health,0.04405781781518853,0.04330997692443334,0.04492751387161858,0.00161753694718523
5,r1_1,0.05951996859568928,0.05869080753747897,0.06020818084801605,0.00151737331053708,5,r1_1,0.0315239238199988,0.03089953913275309,0.03196279240930275,0.00106325327654966
6,cantril_ladder,0.04564207973980739,0.04497390664579749,0.04639592802837584,0.00142202138257834,6,r1_2,0.02949859057301881,0.02893631303287757,0.03007665356137857,0.001140340528501
7,r1_2,0.04270985889771136,0.04197115078806417,0.04359819602687257,0.00162704523880839,7,cantril_ladder,0.02781335711464794,0.027266819027849,0.02842199422009988,0.00115517519225088
8,household_size,0.03088544885862287,0.03024949832494712,0.03142716241694815,0.00117766409200102,8,i11_health_Very willing,0.02612708410229086,0.02539341484567118,0.02658251296322075,0.00118909811754957
9,d1_comorbidities_Yes,0.0119977006807808,0.01160888528221348,0.01242163595420295,8.127506719894702e-4,9,household_size,0.02394532421236252,0.02348139571128415,0.02443484289445372,9.534471831695728e-4
10,gender_Male,0.01189718230890853,0.01149288335972685,0.01226891990497983,7.76036545252979e-4,10,i9_health_Yes,0.01248925486861974,0.01209792100908108,0.01296755208738615,8.696310783050647e-4
