rank_before,variable_before,median_importance_before,q1_before,q3_before,iqr_before,rank_after,variable_after,median_importance_after,q1_after,q3_after,iqr_after
1,protective_behaviour_nomask_scale,821.0501182335405,812.7958186734348,828.5993442071692,15.803525533734389,1,protective_behaviour_nomask_scale,2190.3424864293515,2170.271143194676,2207.1480271870346,36.87688399235867
2,age,493.4561819037684,488.00104363700615,498.26731658432175,10.2662729473156,2,week_number,2008.178930858157,1986.4693094391157,2024.6836818901431,38.21437245102766
3,week_number,478.35595945784354,473.9328968847294,483.68668537746544,9.75378849273602,3,age,631.9247892187452,622.8492632090638,642.7548174117723,19.90555420270846
4,i2_health,415.1364347147735,410.67670381817794,418.7507865380794,8.074082719901469,4,i2_health,420.7668791728111,412.7422855329973,428.6396289104669,15.897343377469667
5,r1_1,402.4382930867772,397.6632841327247,408.0956850136593,10.432400880934608,5,i11_health_Very willing,281.5189176928834,274.0873864878412,289.8895703792527,15.802183891411516
6,r1_2,296.6051555253123,293.3575140087187,300.11245162344136,6.754937614722678,6,cantril_ladder,274.8007580334921,268.450155729876,281.05852361017537,12.608367880299395
7,cantril_ladder,284.53628397826037,282.16313361949653,286.9214538786164,4.7583202591198415,7,r1_2,269.4294365725776,263.572054408536,277.16269834546495,13.590643936928927
8,household_size,221.4839719983426,219.6491679531727,223.66899191376913,4.019823960596426,8,household_size,248.1944580077606,242.04622143296984,252.4991886302134,10.452967197243597
9,gender_Male,86.98121431298884,86.00364247512664,87.9506773794985,1.947034904371861,9,r1_1,247.45796753411616,242.28659543598093,254.15235269167164,11.86575725569071
10,d1_comorbidities_Yes,84.6990626920201,82.96781811600285,86.35755641372262,3.3897382977197736,10,i9_health_Yes,92.75916086821854,87.88846419760199,98.99629207333898,11.107827875736987
