rank_before,variable_before,median_importance_before,q1_before,q3_before,iqr_before,rank_after,variable_after,median_importance_after,q1_after,q3_after,iqr_after
1,i2_health,0.17535740995923368,0.17389520000715308,0.17658660148803088,0.00269140148087779,1,week_number,0.16128241016549302,0.15983260923487522,0.16259786241654894,0.00276525318167372
2,r1_1,0.1137631771750092,0.11295772614215688,0.1148370361548323,0.00187931001267542,2,i2_health,0.13630056349650643,0.134784853665321,0.13763882805974834,0.00285397439442733
3,age,0.1078453646547923,0.1068873307055075,0.1087216168657957,0.0018342861602882,3,r1_1,0.09634170618592172,0.09483080790217592,0.09784688297847854,0.00301607507630262
4,week_number,0.0967250328095903,0.09608909838724876,0.09770682802523334,0.00161772963798458,4,age,0.0814118051450766,0.08072884010252018,0.08216660342647919,0.001437763323959
5,r1_2,0.05080958335048506,0.05016318917065458,0.05148906535165251,0.00132587618099792,5,i11_health_Very willing,0.04806872463620453,0.04706200445865206,0.04910030479139975,0.00203830033274768
6,cantril_ladder,0.0452366551333507,0.04476025790778268,0.04567221806405126,9.119601562685848e-4,6,r1_2,0.03848585035332917,0.03790935607006923,0.03888292587403056,9.735698039613286e-4
7,household_size,0.03476893574888796,0.03424754436177912,0.03526203290759697,0.00101448854581784,7,cantril_ladder,0.03282596635588206,0.03236805658681153,0.03329431991462094,9.262633278094082e-4
8,i9_health_Yes,0.02232640265658712,0.02180316972369912,0.02279686274196577,9.936930182666524e-4,8,household_size,0.02705732757807508,0.02658015243626127,0.02765138047685269,0.00107122804059142
9,i11_health_Very willing,0.02109783224975392,0.02069247077570443,0.0214847402284653,7.922694527608756e-4,9,i9_health_Yes,0.0269760766215132,0.02628899770123321,0.02764528437055561,0.00135628666932239
10,gender_Male,0.01691891692019507,0.01653728658915954,0.01724091448027282,7.036278911132787e-4,10,gender_Male,0.01145060948829771,0.01114889218504167,0.01173089666209702,5.820044770553506e-4
