rank_before,variable_before,median_importance_before,q1_before,q3_before,iqr_before,rank_after,variable_after,median_importance_after,q1_after,q3_after,iqr_after
1,i2_health,449.2290453126179,444.10318411650746,452.8187992567302,8.715615140222667,1,i2_health,1079.6612897620494,1069.878118457351,1091.0344553563768,21.156336899025742
2,r1_1,312.9840715608452,310.1913569725286,315.97799002342833,5.786633050899752,2,week_number,931.6554384893376,924.951406002778,938.7047086103564,13.753302607578462
3,week_number,146.03312416300918,144.65907797958695,147.66192308928564,3.002845109698683,3,r1_1,779.6997131896806,770.9397642202771,789.7441470417841,18.804382821507033
4,age,128.6872558741797,127.65177397502684,130.04877340212968,2.3969994271028554,4,age,595.3557836379904,592.2070839448168,598.9109055621041,6.7038216172873035
5,r1_2,98.38861045341103,96.94490233908869,99.51626677864829,2.571364439559602,5,cantril_ladder,390.58749416291494,388.0312393603693,393.00640963225425,4.975170271884963
6,cantril_ladder,81.59204862739202,80.74683345717824,82.365583577675,1.618750120496756,6,r1_2,389.99296715936146,386.45855120650185,393.1438277094336,6.6852765029317425
7,household_size,62.073749745327376,61.335255536891886,62.8139961945149,1.478740657623014,7,i11_health_Very willing,378.4985108582979,370.9899571478805,384.4488823889712,13.458925241090752
8,i9_health_Yes,54.50786605887947,53.122756178100474,55.76573637220051,2.6429801941000335,8,household_size,320.63166105077795,318.1764688507832,322.8028918201904,4.626422969407201
9,i9_health_Not sure,46.976703406655695,45.47272878807635,48.13640473534242,2.6636759472660643,9,i9_health_Yes,235.13277271157776,230.33304490447975,240.65317216258785,10.320127258108045
10,i11_health_Very willing,46.06248674222347,44.94930659412546,47.01287096723817,2.063564373112712,10,i9_health_Not sure,151.21746553506642,147.42170638216524,155.556122656929,8.134416274763765
