feature,category,before_median,before_se,after_median,after_se,order_value
Protective Behaviour,Self protective behaviours,0.17594094952547729,2.040243751186727e-4,0.19695422746374364,1.8214445874671604e-4,0.19695422746374364
Week Number,Time,0.1004059446299661,1.2276943074928943e-4,0.19608996058658607,1.4839353804078947e-4,0.19608996058658607
Age,Demographics,0.11540292529417084,1.3172954011328352e-4,0.06535801286985365,8.65163959406966e-5,0.11540292529417084
state_New South Wales,Other,0.09253470785592137,1.4846215891309422e-4,0.01200750482859659,3.246440072546376e-5,0.09253470785592137
state_Western Australia,Other,0.00833164529533735,2.5290385614003704e-5,0.06791936252613727,1.1143106371587207e-4,0.06791936252613727
state_Queensland,Other,0.00985516812152735,2.5165226332891113e-5,0.06789616843466097,1.4566497217724544e-4,0.06789616843466097
Non-Household Contacts,Self protective behaviours,0.06138483742920703,8.414625865344503e-5,0.04405781781518853,7.835900167181538e-5,0.06138483742920703
Perceived Severity,Perception of illness threat,0.05951996859568928,8.86498893479152e-5,0.0315239238199988,5.874463240475901e-5,0.05951996859568928
Cantril Ladder,"Health, mental health and wellbeing",0.045642079739807384,7.772599851882278e-5,0.02781335711464794,6.197055337774092e-5,0.045642079739807384
Perceived Susceptibility,Perception of illness threat,0.04270985889771136,9.164969980162431e-5,0.029498590573018804,5.564046719387764e-5,0.04270985889771136
state_Victoria,Other,0.00249082369277511,1.4482775736645536e-5,0.04177678641087365,1.3948764627855808e-4,0.04177678641087365
Household Size,Demographics,0.03088544885862287,6.16447271699251e-5,0.023945324212362513,5.3512289839041804e-5,0.03088544885862287
Comorbidity(YES),"Health, mental health and wellbeing",0.0119977006807808,4.432195668289683e-5,0.003831056337853275,2.10462186354959e-5,0.0119977006807808
