feature,category,before_median,before_se,after_median,after_se,order_value
Protective Behaviour,Self protective behaviours,821.0501182335405,0.9051434120271229,2190.3424864293515,2.2152276220166818,2190.3424864293515
Week Number,Time,478.35595945784354,0.5335638558778095,2008.1789308581572,1.9776265719035966,2008.1789308581572
state_Queensland,Other,101.79662192540862,0.30434866484572126,847.3471193865054,1.7946470239833765,847.3471193865054
state_Western Australia,Other,67.14965748221053,0.20538852706721186,802.2907826981835,1.595836558830691,802.2907826981835
Age,Demographics,493.4561819037684,0.5179868540991588,631.9247892187452,1.0283726194498561,631.9247892187452
state_New South Wales,Other,490.5458912046048,0.787093630085207,16.439465737402013,0.2261133105784324,490.5458912046048
Non-Household Contacts,Self protective behaviours,415.1364347147735,0.42561523420268643,420.7668791728111,0.8793966658311587,420.7668791728111
Perceived Severity,Perception of illness threat,402.4382930867772,0.554387593650629,247.45796753411616,0.6307590451845743,402.4382930867772
Perceived Susceptibility,Perception of illness threat,296.6051555253123,0.3550126876283575,269.4294365725776,0.6492334016071943,296.6051555253123
Cantril Ladder,"Health, mental health and wellbeing",284.53628397826037,0.2750669297585233,274.8007580334921,0.6823645343480784,284.53628397826037
Very Willing To Isolate,Self protective behaviours,72.29993777809773,0.11656259335549911,281.5189176928834,0.9458965953623264,281.5189176928834
Household Size,Demographics,221.4839719983426,0.21865060678940396,248.1944580077606,0.5708130298357071,248.1944580077606
