feature,category,before_median,before_se,after_median,after_se,order_value
Non-Household Contacts,Self protective behaviours,0.17535740995923366,1.287632056132504e-4,0.13630056349650643,1.559219932847235e-4,0.17535740995923366
Week Number,Time,0.0967250328095903,8.822729164210563e-5,0.161282410165493,1.4498143014818378e-4,0.161282410165493
Perceived Severity,Perception of illness threat,0.11376317717500921,1.0968126256586115e-4,0.09634170618592171,1.4791145217115612e-4,0.11376317717500921
Age,Demographics,0.10784536465479229,9.724811077769775e-5,0.0814118051450766,7.801799071777322e-5,0.10784536465479229
Perceived Susceptibility,Perception of illness threat,0.05080958335048505,5.9537126510921445e-5,0.038485850353329173,5.343219531867503e-5,0.05080958335048505
state_Western Australia,Other,0.010071374884961591,3.131781508594433e-5,0.04880369893496936,8.500654469102864e-5,0.04880369893496936
Very Willing To Isolate,Self protective behaviours,0.02109783224975392,4.340978437227169e-5,0.04806872463620453,1.0971098152759919e-4,0.04806872463620453
Cantril Ladder,"Health, mental health and wellbeing",0.0452366551333507,4.7863448040804475e-5,0.03282596635588206,4.678442860911478e-5,0.0452366551333507
state_Queensland,Other,0.008236021096767,2.280832255363667e-5,0.038402956003131816,9.895974635799956e-5,0.038402956003131816
state_New South Wales,Other,0.03493814838209158,5.189536368023947e-5,0.027580719674228524,8.263911881087358e-5,0.03493814838209158
Household Size,Demographics,0.034768935748887966,5.5044089822637694e-5,0.02705732757807508,5.454073250796374e-5,0.034768935748887966
state_Victoria,Other,0.01262969359754967,4.012588512339603e-5,0.02904546569494673,5.914771540728521e-5,0.02904546569494673
Isolate If Unwell(YES),Self protective behaviours,0.022326402656587127,5.3617117682379004e-5,0.026976076621513204,7.378854387535998e-5,0.026976076621513204
