feature,category,before_median,before_se,after_median,after_se,order_value
Non-Household Contacts,Self protective behaviours,449.2290453126179,0.4356008528532723,1079.6612897620494,1.1067815480283771,1079.6612897620494
Week Number,Time,146.03312416300918,0.15840038571202691,931.6554384893376,0.7645477280470819,931.6554384893376
Perceived Severity,Perception of illness threat,312.9840715608452,0.3500533161270699,779.6997131896806,1.0049587441640553,779.6997131896806
Age,Demographics,128.68725587417967,0.11610271738503937,595.3557836379904,0.3450335504368621,595.3557836379904
state_Western Australia,Other,33.6243422362893,0.12166936472119866,420.25931982845157,0.837662908041996,420.25931982845157
Cantril Ladder,"Health, mental health and wellbeing",81.59204862739202,0.08238460412679226,390.587494162915,0.2319899416019732,390.587494162915
Perceived Susceptibility,Perception of illness threat,98.38861045341103,0.133094673605981,389.99296715936146,0.3311760327991474,389.99296715936146
Very Willing To Isolate,Self protective behaviours,46.06248674222347,0.11992793965494118,378.4985108582979,0.7497655901380975,378.4985108582979
Household Size,Demographics,62.073749745327376,0.07558295992560032,320.63166105077795,0.24339647917972998,320.63166105077795
state_Queensland,Other,16.90813404274875,0.05072439136954634,288.24278871946535,0.7648192076644813,288.24278871946535
state_New South Wales,Other,105.46471704655832,0.18917188679331234,284.90535768002337,0.6315130621462733,284.90535768002337
Isolate If Unwell(YES),Self protective behaviours,54.50786605887947,0.13452323040819628,235.13277271157776,0.5278596148092485,235.13277271157776
Isolate If Unwell(Not Sure),Self protective behaviours,46.976703406655695,0.13808973954270998,151.21746553506642,0.39860633495908854,151.21746553506642
