feature,category,before_median,before_q1,before_q3,before_se,after_median,after_q1,after_q3,after_se,order_value
Protective Behaviour,Self protective behaviours,0.17594094952547729,0.17415828271486675,0.17790572126218332,2.040243751186727e-4,0.19695422746374364,0.19518244694267506,0.1984012724740541,1.8214445874671604e-4,0.19695422746374364
Week Number,Time,0.1004059446299661,0.09928000577813825,0.10165120864777409,1.2276943074928943e-4,0.19608996058658607,0.19475954840006796,0.19758144624063595,1.4839353804078947e-4,0.19608996058658607
Age,Demographics,0.11540292529417084,0.11390100877254969,0.11664277899886688,1.3172954011328352e-4,0.06535801286985365,0.0643897234639925,0.06601751094034107,8.65163959406966e-5,0.11540292529417084
Non-Household Contacts,Self protective behaviours,0.06138483742920703,0.06061821281367063,0.0622164507139588,8.414625865344503e-5,0.04405781781518853,0.04330997692443334,0.04492751387161857,7.835900167181538e-5,0.06138483742920703
Perceived Severity,Perception of illness threat,0.05951996859568928,0.05869080753747896,0.06020818084801605,8.86498893479152e-5,0.0315239238199988,0.030899539132753083,0.03196279240930275,5.874463240475901e-5,0.05951996859568928
Cantril Ladder,"Health, mental health and wellbeing",0.045642079739807384,0.04497390664579749,0.04639592802837584,7.772599851882278e-5,0.02781335711464794,0.027266819027848995,0.028421994220099875,6.197055337774092e-5,0.045642079739807384
Perceived Susceptibility,Perception of illness threat,0.04270985889771136,0.041971150788064175,0.04359819602687257,9.164969980162431e-5,0.029498590573018804,0.028936313032877567,0.03007665356137857,5.564046719387764e-5,0.04270985889771136
Household Size,Demographics,0.03088544885862287,0.030249498324947114,0.03142716241694814,6.16447271699251e-5,0.023945324212362513,0.023481395711284152,0.024434842894453725,5.3512289839041804e-5,0.03088544885862287
Very Willing To Isolate,Self protective behaviours,0.011150134108482094,0.01078005034447154,0.011545121339696634,3.973045885489959e-5,0.026127084102290858,0.025393414845671175,0.02658251296322075,5.899846838826361e-5,0.026127084102290858
Isolate If Unwell(YES),Self protective behaviours,0.010077636075515109,0.009714610698899596,0.010457221137428054,3.6549565952856565e-5,0.01248925486861974,0.012097921009081082,0.01296755208738615,5.0422940922943434e-5,0.01248925486861974
Comorbidity(YES),"Health, mental health and wellbeing",0.0119977006807808,0.011608885282213478,0.01242163595420295,4.432195668289683e-5,0.003831056337853275,0.0036388739940021175,0.004041831453491295,2.10462186354959e-5,0.0119977006807808
Gender(Male),Demographics,0.01189718230890853,0.011492883359726853,0.012268919904979829,3.710236592782105e-5,0.009599013394407935,0.009249679998753618,0.009972011771325177,3.807339009448272e-5,0.01189718230890853
