feature,category,before_median,before_q1,before_q3,before_se,after_median,after_q1,after_q3,after_se,order_value
Protective Behaviour,Self protective behaviours,821.0501182335405,812.7958186734348,828.5993442071692,0.9051434120271229,2190.3424864293515,2170.2711431946764,2207.1480271870346,2.2152276220166818,2190.3424864293515
Week Number,Time,478.35595945784354,473.9328968847294,483.68668537746544,0.5335638558778095,2008.1789308581572,1986.4693094391157,2024.6836818901434,1.9776265719035966,2008.1789308581572
Age,Demographics,493.4561819037684,488.00104363700615,498.26731658432175,0.5179868540991588,631.9247892187452,622.8492632090638,642.7548174117723,1.0283726194498561,631.9247892187452
Non-Household Contacts,Self protective behaviours,415.1364347147735,410.67670381817794,418.7507865380794,0.42561523420268643,420.7668791728111,412.74228553299724,428.6396289104669,0.8793966658311587,420.7668791728111
Perceived Severity,Perception of illness threat,402.4382930867772,397.6632841327247,408.0956850136593,0.554387593650629,247.45796753411616,242.28659543598093,254.15235269167164,0.6307590451845743,402.4382930867772
Perceived Susceptibility,Perception of illness threat,296.6051555253123,293.3575140087187,300.11245162344136,0.3550126876283575,269.4294365725776,263.572054408536,277.16269834546495,0.6492334016071943,296.6051555253123
Cantril Ladder,"Health, mental health and wellbeing",284.53628397826037,282.16313361949653,286.9214538786164,0.2750669297585233,274.8007580334921,268.450155729876,281.05852361017537,0.6823645343480784,284.53628397826037
Very Willing To Isolate,Self protective behaviours,72.29993777809773,71.17080424370522,73.32299216722613,0.11656259335549911,281.5189176928834,274.0873864878412,289.8895703792527,0.9458965953623264,281.5189176928834
Household Size,Demographics,221.4839719983426,219.6491679531727,223.66899191376916,0.21865060678940396,248.1944580077606,242.04622143296982,252.4991886302134,0.5708130298357071,248.1944580077606
Isolate If Unwell(YES),Self protective behaviours,69.4801170051172,68.43366825196009,70.3606229014359,0.09870816439008304,92.75916086821854,87.88846419760199,98.99629207333898,0.621874761659501,92.75916086821854
Gender(Male),Demographics,86.98121431298884,86.00364247512664,87.9506773794985,0.10885524626861692,73.1349366934457,69.47140405494726,76.85226396993647,0.4072060588415205,86.98121431298884
Comorbidity(YES),"Health, mental health and wellbeing",84.6990626920201,82.96781811600285,86.35755641372262,0.1884430602743598,34.483102672679635,32.684747695144544,36.53306942898976,0.20014078642979063,84.6990626920201
