feature,category,before_median,before_q1,before_q3,before_se,after_median,after_q1,after_q3,after_se,order_value
Non-Household Contacts,Self protective behaviours,0.17535740995923366,0.17389520000715308,0.17658660148803088,1.287632056132504e-4,0.13630056349650643,0.134784853665321,0.13763882805974834,1.559219932847235e-4,0.17535740995923366
Week Number,Time,0.0967250328095903,0.09608909838724876,0.09770682802523334,8.822729164210563e-5,0.161282410165493,0.15983260923487522,0.16259786241654894,1.4498143014818378e-4,0.161282410165493
Perceived Severity,Perception of illness threat,0.11376317717500921,0.11295772614215688,0.11483703615483232,1.0968126256586115e-4,0.09634170618592171,0.09483080790217592,0.09784688297847854,1.4791145217115612e-4,0.11376317717500921
Age,Demographics,0.10784536465479229,0.1068873307055075,0.1087216168657957,9.724811077769775e-5,0.0814118051450766,0.08072884010252018,0.08216660342647919,7.801799071777322e-5,0.10784536465479229
Perceived Susceptibility,Perception of illness threat,0.05080958335048505,0.050163189170654585,0.05148906535165251,5.9537126510921445e-5,0.038485850353329173,0.03790935607006923,0.038882925874030555,5.343219531867503e-5,0.05080958335048505
Very Willing To Isolate,Self protective behaviours,0.02109783224975392,0.020692470775704425,0.021484740228465297,4.340978437227169e-5,0.04806872463620453,0.04706200445865206,0.04910030479139975,1.0971098152759919e-4,0.04806872463620453
Cantril Ladder,"Health, mental health and wellbeing",0.0452366551333507,0.04476025790778268,0.045672218064051265,4.7863448040804475e-5,0.03282596635588206,0.032368056586811536,0.033294319914620944,4.678442860911478e-5,0.0452366551333507
Household Size,Demographics,0.034768935748887966,0.03424754436177912,0.03526203290759697,5.5044089822637694e-5,0.02705732757807508,0.02658015243626127,0.027651380476852692,5.454073250796374e-5,0.034768935748887966
Isolate If Unwell(YES),Self protective behaviours,0.022326402656587127,0.02180316972369912,0.02279686274196577,5.3617117682379004e-5,0.026976076621513204,0.026288997701233212,0.027645284370555613,7.378854387535998e-5,0.026976076621513204
Gender(Male),Demographics,0.016918916920195072,0.016537286589159542,0.017240914480272825,3.514392637186621e-5,0.01145060948829771,0.01114889218504167,0.011730896662097024,3.0624347038199234e-5,0.016918916920195072
