feature,category,before_median,before_q1,before_q3,before_se,after_median,after_q1,after_q3,after_se,order_value
Non-Household Contacts,Self protective behaviours,449.2290453126179,444.1031841165075,452.81879925673013,0.4356008528532723,1079.6612897620494,1069.878118457351,1091.0344553563768,1.1067815480283771,1079.6612897620494
Week Number,Time,146.03312416300918,144.65907797958695,147.66192308928564,0.15840038571202691,931.6554384893376,924.951406002778,938.7047086103563,0.7645477280470819,931.6554384893376
Perceived Severity,Perception of illness threat,312.9840715608452,310.1913569725286,315.97799002342833,0.3500533161270699,779.6997131896806,770.9397642202771,789.7441470417841,1.0049587441640553,779.6997131896806
Age,Demographics,128.68725587417967,127.65177397502683,130.04877340212968,0.11610271738503937,595.3557836379904,592.2070839448168,598.9109055621041,0.3450335504368621,595.3557836379904
Cantril Ladder,"Health, mental health and wellbeing",81.59204862739202,80.74683345717824,82.365583577675,0.08238460412679226,390.587494162915,388.0312393603693,393.00640963225425,0.2319899416019732,390.587494162915
Perceived Susceptibility,Perception of illness threat,98.38861045341103,96.94490233908866,99.51626677864829,0.133094673605981,389.99296715936146,386.45855120650185,393.1438277094336,0.3311760327991474,389.99296715936146
Very Willing To Isolate,Self protective behaviours,46.06248674222347,44.94930659412546,47.01287096723817,0.11992793965494118,378.4985108582979,370.9899571478805,384.44888238897124,0.7497655901380975,378.4985108582979
Household Size,Demographics,62.073749745327376,61.335255536891886,62.8139961945149,0.07558295992560032,320.63166105077795,318.1764688507832,322.8028918201904,0.24339647917972998,320.63166105077795
Isolate If Unwell(YES),Self protective behaviours,54.50786605887947,53.122756178100474,55.76573637220051,0.13452323040819628,235.13277271157776,230.33304490447975,240.65317216258785,0.5278596148092485,235.13277271157776
Isolate If Unwell(Not Sure),Self protective behaviours,46.976703406655695,45.47272878807635,48.13640473534242,0.13808973954270998,151.21746553506642,147.42170638216524,155.556122656929,0.39860633495908854,151.21746553506642
